q0001  00:00.0-00:30.0  Девушки воровушки
q0089  04:39.0-04:40.1  Я вообще вас не ждал
q0090  04:40.1-04:40.9  Хватит, так!
q0091  04:42.1-04:42.7  Хватит
q0092  04:42.7-04:44.5  Давайте, бабло
q0093  04:44.5-04:47.7  Я не буду всю ночь бесплатно вертеться на твоем банане
q0094  04:47.7-04:48.6  Он не встал
q0095  04:48.6-04:50.8  Это просто проявление вежливости
q0096  04:50.8-04:52.9  И когда ты признался в любви, это тоже вежливость?
q0097  04:52.9-04:55.4  Во-первых, я сказал, что Мок бы в вас влюбиться.
q0098  04:55.7-04:57.1  И да, тоже из вежливости.
q0099  04:57.6-04:59.1  Ричи, заплати даме.
q0100  04:59.5-05:02.2  Что? Как? А что сразу я? Кто её позвал?
q0101  05:02.3-05:03.7  Мне даже не станцевали.
q0102  05:03.9-05:06.3  Это корпоратив, а ты директор. Раскошеливайся.
q0103  05:06.5-05:08.2  Нет, ты её позвал, вот тебе и платить.
q0104  05:08.4-05:11.0  Дак, помоги директору отыскать бабло.
q0105  05:11.0-05:13.1  Не, не, не, я сам найду.
q0106  05:13.2-05:15.6  Я знаю, где оно. Вот тут.
q0107  05:16.0-05:18.0  Вы Американ Экспресс принимаете?
q0108  05:18.4-05:18.9  Естественно.
q0109  05:19.0-05:20.5  Накинь сотку для себя, Мока.
q0110  05:20.9-05:22.3  Мне дешёвый стояк.
q0111  05:22.3-05:23.4  Не было стояка.
q0112  05:26.0-05:27.5  Спасибо, что пришли.
q0113  05:28.4-05:31.5  У нас много дел, так что приступим.
q0114  05:32.2-05:33.0  Замечательно.
q0115  05:41.9-05:42.7  Я?
q0116  05:43.0-05:43.5  Хорошо.
q0117  05:45.4-05:51.1  Ну, мы очень рады с вами работать, мистер Грегори.
q0118  05:51.1-05:51.6  Да.
q0119  05:52.3-05:53.7  Мы это кто?
q0120  05:54.5-05:57.6  Я, он, пацаны дома.
q0121  05:57.7-05:58.2  Пацаны?
q0122  05:59.7-06:00.7  Какие пацаны?
q0123  06:01.9-06:03.6  Кто это?
q0124  06:03.8-06:07.0  Эрлик Бакман, предприниматель, как и вы.
q0125  06:09.1-06:13.0  Ричард создал бегово-дудочник и квартируюсь в моём инкубаторе.
q0126  06:13.4-06:16.5  Так что по соглашению 10% компании мои.
q0127  06:16.5-06:26.5  Я плачу 200 тысяч за 5%, а вы даете ему в два раза больше за койку и бутерброды?
q0128  06:27.4-06:30.3  Вообще-то, сэр, мои жильцы сами платят за еду.
q0129  06:30.5-06:32.1  Как распределились остальные доли?
q0130  06:32.8-06:41.0  Покажите ваш устав, учредительные документы, бизнес-план и остальные важные бумаги, что вы подготовили.
q0131  06:41.0-06:44.0  Я... Я был уверен, что...
q0132  06:45.0-06:48.8  Мы просто придём, поздороваемся и заберём чек.
q0133  06:49.5-06:52.7  И не знал, что что-то ещё нужно.
q0134  06:53.0-06:53.5  Нужно?
q0135  06:56.8-07:07.6  10 10
q0136  07:07.9-07:10.0  Где ваша компания?
q0137  07:10.8-07:11.9  Что я купил?
q0138  07:12.0-07:13.5  Вы купили алгоритм, который...
q0139  07:13.5-07:14.1  Нет!
q0140  07:16.7-07:19.2  Алгоритм — это продукт компании.
q0141  07:19.6-07:20.6  Это я знаю.
q0142  07:20.6-07:23.1  Я спрашиваю про саму компанию.
q0143  07:23.4-07:24.1  Что за люди?
q0144  07:24.4-07:25.6  Чем заняты?
q0145  07:25.6-07:27.4  Они и правда важны?
q0146  07:27.8-07:31.6  Или вы просто раздали им проценты, как этому...
q0147  07:34.7-07:40.0  Это всё нужно продумать.
q0148  07:40.5-07:41.2  Быстро.
q0149  07:43.1-07:47.5  Но вы сказали, что можете помочь нам со всем необходимым.
q0150  07:48.0-07:50.2  Я думаю, что как раз об этом и речь.
q0151  07:50.2-07:54.2  Я не могу помочь, пока нет...
q0152  07:54.2-07:56.3  Чему помогать?
q0153  07:59.2-08:01.1  Ну, куда это годится?
q0154  08:01.6-08:02.2  Я знаю.
q0155  08:02.5-08:04.1  Он сам не знает, что делает.
q0156  08:08.9-08:11.1  Вы что, отпили из пустой кружки?
q0157  08:12.9-08:13.6  Да.
q0158  08:14.0-08:14.7  Зачем же?
q0159  08:16.0-08:18.3  Чтоб чем-то себя занять.
q0160  08:18.8-08:20.3  Возвращайтесь через два дня.
q0161  08:20.4-08:23.7  С железным бизнес-планом, стратегией выхода на рынок.
q0162  08:23.7-08:26.2  И с расписанными на три года финансами.
q0163  08:26.4-08:27.8  Иначе никакого чека.
q0164  08:32.2-08:33.1  Это всё.
q0165  08:34.4-08:35.8  Что ж, спасибо, что пришли.
q0166  08:38.5-08:41.7  А у вас в здании есть питьевые фонтанчики?
q0167  08:43.1-08:43.7  Наверное.
q0168  08:43.9-08:47.6  У меня 10% приложения, которые ищут поблизости фонтанчики.
q0169  08:48.0-08:49.2  Буду рад его с вами обсудить.
q0170  08:49.4-08:50.8  Хорошего дня, господа.
q0171  08:52.1-08:53.0  Травку курите?
q0172  08:53.7-08:59.4  Ты меня опозорил.
q0173  08:59.5-09:01.8  Что ж ты раньше про бизнес-план ничего не сказал?
q0174  09:02.1-09:02.8  И он тоже.
q0175  09:03.1-09:04.6  Он вообще ввёл себя как мудак.
q0176  09:04.8-09:06.4  Да, вот поэтому он миллиардер.
q0177  09:06.5-09:08.1  Он знает, где и когда быть мудаком.
q0178  09:08.2-09:09.4  И ты этому научишься.
q0179  09:09.5-09:10.1  Надо, Ричард.
q0180  09:10.3-09:11.0  Как скажешь.
q0181  09:11.1-09:14.7  Если ты будешь раздавать по 10% компании, кому не попадя...
q0182  09:14.7-09:17.1  Разумеется, моя доля не обсуждаема.
q0183  09:17.2-09:18.2  Этот поезд ушёл.
q0184  09:18.5-09:19.6  Но впредь думай...
q0185  09:19.6-09:21.0  Вот теперь ты корчишь мудака.
q0186  09:21.4-09:22.8  Говоришь так, как будто это плохо.
q0187  09:23.0-09:23.5  Ричард.
q0188  09:23.5-09:29.8  Не будешь мудаком, среди мудаков образуется вакуум, который заполнит другие мудаки, вроде Джареда.
q0189  09:29.9-09:31.8  Ты чуть не раздал всем доли.
q0190  09:32.4-09:34.4  Ты должен полностью измениться, Ричард.
q0191  09:35.0-09:37.2  Должен случиться тифтонский сдвиг.
q0192  09:38.0-09:38.8  Тектонический.
q0193  09:39.8-09:40.1  Чё?
q0194  09:40.9-09:43.6  Тифтонический сдвиг — это движение земной коры.
q0195  09:44.2-09:48.1  А тифтонцы — это древнегерманское племя. Они воевали с римлянами.
q0196  09:50.3-09:51.8  Они жили в Скандинавии...
q0197  09:51.8-09:52.3  Хватит!
q0198  09:53.0-09:53.6  Хватит.
q0199  09:54.5-09:59.4  Сейчас ты мелкий винтик, а должен стать полным мудаком.
q0200  09:59.8-10:00.8  Разницу чувствуешь?
q0201  10:01.1-10:03.1  Не станешь мудаком компании Хана.
q0202  10:03.5-10:04.7  Эрлих, у меня два дня.
q0203  10:05.4-10:07.4  Ты поможешь мне с бизнес-планом или нет?
q0204  10:08.0-10:09.6  Я верю в тебя, Ричард.
q0205  10:09.8-10:11.4  Поэтому не помогу.
q0206  10:15.4-10:19.1  Бизнес-план необходим для управления новым делом
q0207  10:19.1-10:22.2  или для внесения изменений в существующее.
q0208  10:22.3-10:25.3  Ох...
q0209  10:34.8-10:37.1  Здрасте, это Ричард Хендрикс.
q0210  10:38.0-10:38.9  Удобно говорить?
q0211  10:40.5-10:42.3  Мне нужна помощь.
q0212  10:46.1-10:48.2  Чей шевроле у входа?
q0213  10:48.8-10:50.0  Джарда Дана.
q0214  10:50.3-10:50.6  Что?
q0215  10:50.6-10:52.4  Как? Нафига он тут?
q0216  10:52.7-10:56.4  Ну, как ты знаешь, мне нужна помощь по бизнес-плану.
q0217  10:56.6-10:57.6  Ты с ним поделился?
q0218  11:02.2-11:03.1  Доброе утро.
q0219  11:04.2-11:08.0  Ой, чего это я? Не знаю, зачем поклонился.
q0220  11:08.6-11:10.9  Вы так похожи на короля.
q0221  11:11.2-11:13.9  На скандинавского героя из Волгалы.
q0222  11:14.2-11:15.3  Не подлизывайся.
q0223  11:15.5-11:18.1  Питер Грегори велел сбросить лишний вес.
q0224  11:18.1-11:22.0  У меня искали изнуряющую болезнь из-за худощавого телосложения.
q0225  11:22.9-11:31.3  Я сделал план привлечения клиентов, подбил финансы, рассчитал дисконтирование.
q0226  11:31.6-11:35.5  Большинству инвесторов это не надо, но, боюсь, Питер потребует.
q0227  11:36.1-11:40.3  Предлагаю приступить к личным собеседованиям, чтобы распределить доли.
q0228  11:40.5-11:40.9  Хорошо.
q0229  11:41.3-11:44.4  Но сперва можно мне воспользоваться уборной?
q0230  11:44.5-11:47.1  Да, и разрешение можно не спрашивать.
q0231  11:47.1-11:48.8  Ты что, ещё ни разу не сходил?
q0232  11:49.4-11:50.1  Ещё нет.
q0233  11:52.8-11:55.4  Ну, иди. Разрешаю.
q0234  11:56.5-12:00.9  Дэн Пок, я вас дёрнул из Аспина. Спасибо, что приехали. Прошу, присаживайтесь.
q0235  12:02.8-12:04.7  Я в этом году не сижу.
q0236  12:05.3-12:07.8  Ну, естественно. Потрясающе.
q0237  12:11.6-12:13.8  Что тяготит тебя, Гавин?
q0238  12:14.3-12:16.6  Джаред Дан сегодня ушёл к пегому дудочнику.
q0239  12:16.6-12:20.5  Ненавижу Ричарда Хендрикса с его пегой-дудкой.
q0240  12:22.1-12:23.9  Это... это неправильно?
q0241  12:24.4-12:27.0  Для простого человека возможно.
q0242  12:28.1-12:34.1  Но в руках просвещенного ненависть — инструмент великих перемен.
q0243  12:35.5-12:36.9  Вы правы, как всегда.
q0244  12:41.5-12:44.9  Аудиос, поставь Джона Леннона.
q0245  12:44.9-12:45.5  Imagine.
q0246  12:45.9-12:46.5  Ставлю.
q0247  12:46.6-12:48.1  Джон Уэйн, имя Джина.
q0248  12:49.1-12:50.0  Трек не найден.
q0249  12:50.4-12:50.8  Блять.
q0250  12:51.1-12:52.3  Неверная команда.
q0251  12:52.4-12:52.8  Блять.
q0252  12:53.5-12:55.3  Используй гнев, ученик.
q0253  12:56.5-12:57.3  Используй.
q0254  13:02.5-13:04.8  Спасибо, что согласился, Гилфойл.
q0255  13:05.0-13:07.1  Знаю, ситуация неловкая.
q0256  13:07.7-13:12.2  Итак, расскажи, пожалуйста, как ты видишь свою роль в компании.
q0257  13:12.6-13:13.6  Чем ты занимаешься?
q0258  13:14.1-13:15.0  Чем занимаюсь?
q0259  13:17.8-13:20.6  Системная архитектура, сети и безопасность.
q0260  13:21.9-13:24.0  По этим делам я лучший в этом доме.
q0261  13:24.1-13:25.7  Ясно. Приятно слышать.
q0262  13:25.9-13:27.1  Но кому это надо?
q0263  13:27.5-13:33.2  Пока вы учили пестики с тычинками и пели о капелла в колледже Сар-Лорсон,
q0264  13:33.5-13:36.3  я получал рут на сервере агентства госбезопасности.
q0265  13:36.3-13:39.3  Я был в одном клике от начала Второй Иранской революции.
q0266  13:39.5-13:40.5  Я ходил в эссор.
q0267  13:40.5-13:43.8  Я ловлю межсайтовый скриптинг, мониторю дидос-атаки,
q0268  13:44.2-13:47.6  откатываю косяки в базах данных и ошибки в транзакциях.
q0269  13:47.8-13:49.5  Интернет! Слышал про такое?
q0270  13:49.6-13:52.1  В каждую минуту передается пятабайт данных.
q0271  13:52.5-13:54.4  Ты хоть представляешь, как это работает?
q0272  13:54.6-14:09.9  12 12
q0273  14:09.9-14:11.2  доставлялись в целости.
q0274  14:11.5-14:12.7  Так чем я занимаюсь?
q0275  14:13.1-14:15.9  Слежу, чтобы один кривой конфиг в одном ключевом месте
q0276  14:15.9-14:17.7  не разорил к ебеням всю контору.
q0277  14:17.7-14:19.3  Вот, блядь, чем я занимаюсь.
q0278  14:20.9-14:22.7  Я ему так и сказал.
q0279  14:23.1-14:24.4  Что бы вы там ни решили,
q0280  14:24.4-14:29.2  Я точно заслуживаю большей доли, чем Динеш.
q0281  14:29.9-14:32.8  Гилфоу наверняка сел и стал сыпать терминами,
q0282  14:33.1-14:35.4  три четверти из которых полнейшая хрень.
q0283  14:36.4-14:38.3  Про иранскую революцию рассказывал?
q0284  14:38.9-14:40.7  Да, брехня на постном масле.
q0285  14:41.1-14:42.5  Но я единственный.
q0286  14:42.6-14:45.1  Среди этих клонов умею писать на Джаве.
q0287  14:45.7-14:50.4  Я пишу аккуратный, нетребовательный к ресурсам код с функциями высшего порядка,
q0288  14:50.6-14:51.6  который пойдет везде.
q0289  14:52.1-14:53.7  Точка, конец предложения.
q0290  14:53.7-14:59.7  Так что, какова бы ни была моя доля, отмечу, что мой вклад больше, чем Гилфойла.
q0291  15:02.3-15:04.2  Необычно. Это верно.
q0292  15:04.9-15:06.1  Все через это прошли.
q0293  15:06.5-15:07.1  Гилфойл?
q0294  15:07.6-15:09.7  Это формально, чтобы я мог понять.
q0295  15:10.3-15:13.0  Так в чём ваша ценность для команды бегово-дудочника?
q0296  15:13.9-15:21.8  Я программирую, ну там, код пишу неплохо, алгоритмы придумываю и так далее.
q0297  15:21.8-15:24.0  Не те, что придумал Ричард.
q0298  15:25.1-15:27.6  Ну да, не настолько крутые.
q0299  15:27.9-15:30.4  Ричард гуру, а я так, ученик.
q0300  15:31.5-15:32.8  Причём херовый.
q0301  15:33.8-15:35.5  Замощил и лови.
q0302  15:35.7-15:36.3  Не дури.
q0303  15:36.6-15:38.3  Хером по щёчкам.
q0304  15:38.9-15:39.9  Всё-таки дуришь.
q0305  15:40.1-15:42.1  Держи, и мамочке передай.
q0306  15:42.3-15:42.9  По щёчкам?
q0307  15:43.2-15:43.9  Класс.
q0308  15:45.9-15:47.7  Пацаны, как вам этот Джаред?
q0309  15:48.0-15:49.0  Козёл он, да?
q0310  15:49.4-15:50.7  Нет, цепкий чувак.
q0311  15:50.7-15:53.6  разгребает дерьмо, которое мы разгрести не в состоянии.
q0312  15:53.9-15:56.0  Тоже мне ума, палата, ему тут жить негде.
q0313  15:56.3-15:58.2  Это не вопрос, Ричард выгонит башку.
q0314  15:58.5-16:00.2  Ричард выгонит башку? За что?
q0315  16:00.6-16:04.0  Башка клёвый, пацан, но он не такой программист, как я.
q0316  16:04.3-16:06.6  Не такой системный архитектор, как Гилфойл.
q0317  16:06.7-16:09.2  И не такая сволочь, как ты. Без обид.
q0318  16:09.3-16:12.1  Он слабее во всём, как с козла молока.
q0319  16:12.5-16:15.1  Поделиться с ним, значит насрать нам в душу.
q0320  16:15.7-16:17.0  Но он классный, пацан.
q0321  16:17.3-16:19.8  Классный, но бесполезный.
q0322  16:20.5-16:22.3  Да, он классный.
q0323  16:23.1-16:24.7  В отличие от Джареда.
q0324  16:25.0-16:27.1  Ха, тут-то все согласны.
q0325  16:28.7-16:29.7  Ну, не знаю.
q0326  16:30.6-16:32.8  Мы с Ричардом вместе начинали всё-таки?
q0327  16:33.5-16:34.4  Вместе, да.
q0328  16:34.7-16:37.6  Но алгоритм он придумал без тебя, так?
q0329  16:38.0-16:39.3  Да, да, я тут ни при чём.
q0330  16:41.0-16:42.3  Он лучший друг.
q0331  16:42.6-16:43.3  Это верно.
q0332  16:43.9-16:46.6  Да, дружба, это несомненно.
q0333  16:46.6-16:52.0  Но Питер Грегори требует чёткий железный бизнес-план.
q0334  16:52.5-16:56.3  Вряд ли директор Майкрософт платит лучшему другу.
q0335  16:56.7-16:59.6  Сергей Брин платит. Ларри пинает балду.
q0336  16:59.9-17:00.4  Видишь.
q0337  17:01.9-17:06.8  Пусть Башка будет многостаночником. Мастер на все руки.
q0338  17:08.0-17:12.7  Но по его собственному признанию он вообще безрукий.
q0339  17:12.8-17:14.4  Всё так, всё так.
q0340  17:14.4-17:20.6  А это не совсем то, что требуется для компании с потенциалом в миллиарды долларов.
q0341  17:21.3-17:23.6  Питер Грегори даст отворот-поворот.
q0342  17:25.4-17:27.3  Ричарду там сейчас не сладко.
q0343  17:28.2-17:30.3  Объяснять башке, что он лишний.
q0344  17:30.6-17:33.4  Может, это грубо, но он как-то спал,
q0345  17:33.8-17:37.9  а я стою, смотрю на него и думаю, вот же беста ваш.
q0346  17:38.3-17:40.5  От башки пользы ровно ноль.
q0347  17:40.5-17:44.3  А, здорово!
q0348  17:44.4-17:45.7  Здорово, Башка.
q0349  17:46.2-17:46.6  Привет.
q0350  17:47.1-17:47.9  Как делишки?
q0351  17:49.2-17:50.4  Лучше некуда.
q0352  17:50.9-17:56.0  Сейчас я пойду на велике покатаюсь, проветрю голову.
q0353  17:57.6-18:00.3  До встречи.
q0354  18:00.5-18:01.4  Осторожно там.
q0355  18:01.5-18:02.2  Да, удачи.
q0356  18:02.4-18:03.4  Зачем вы так?
q0357  18:03.8-18:04.7  Он всё слышал.
q0358  18:04.9-18:06.2  Но это же чистая правда.
q0359  18:06.7-18:07.6  Признай, Ричард.
q0360  18:07.9-18:12.2  Бегому дудочнику от него столько же толку, сколько от концовок Mass Effect 3.
q0361  18:12.2-18:15.2  Он повиснет на нашей шее, и мы все это понимаем.
q0362  18:17.0-18:18.4  Еще раз здрасте.
q0363  18:18.8-18:20.3  Забыл бутылку с водой.
q0364  18:24.1-18:29.4  Пойду заберу и пройду мимо вас еще раз.
q0365  18:30.7-18:32.4  Сравнить с Mass Effect 3?
q0366  18:33.6-18:34.3  Сурово.
q0367  18:34.7-18:36.6  Не хотел, чтобы он слышал, но это правда.
q0368  18:36.8-18:40.1  Мы столько раз звали его клевым пацаном, что же он тогда не подслушивал?
q0369  18:41.1-18:43.0  Его нет 12 часов.
q0370  18:43.6-18:45.6  Черт возьми, не берет трубку.
q0371  18:46.5-18:49.1  Я начинаю немного волноваться.
q0372  18:49.4-18:50.3  Если его нет?
q0373  18:51.0-18:52.1  Совсем нет.
q0374  18:53.0-18:54.8  Тебе одной проблемы меньше.
q0375  18:55.8-18:57.6  То есть, если он умер,
q0376  18:57.9-18:59.4  хочешь сказать, башка мог умереть?
q0377  18:59.6-19:00.7  Думаешь, утешил?
q0378  19:00.9-19:01.7  Чему тут радоваться?
q0379  19:02.0-19:04.5  Я лишь предположил, что это могло с ним случиться.
q0380  19:04.6-19:05.5  С каждым может.
q0381  19:05.5-19:08.5  Но даже в этом случае есть свои плюсы.
q0382  19:08.5-19:10.5  И какие же?
q0383  19:10.9-19:12.7  Избавишься от неприятного разговора?
q0384  19:12.8-19:13.4  Это жуть.
q0385  19:13.7-19:15.0  Может, ты его поискать?
q0386  19:15.1-19:16.3  А я с ними согласен.
q0387  19:16.6-19:17.7  Без жара, да лучше.
q0388  19:19.1-19:19.4  Что?
q0389  19:20.9-19:27.5  Ричард, не хочу показаться навязчивым, но мне нужна твоя помощь с бизнес-планом.
q0390  19:27.6-19:29.3  Ричард, ты сделал всё, что мог.
q0391  19:29.4-19:31.0  Позвони и скажи, что он уволен.
q0392  19:31.3-19:32.9  Нет, так поступают мудаки.
q0393  19:33.0-19:34.3  Да, помнишь?
q0394  19:34.4-19:36.2  Ты должен стать мудаком.
q0395  19:36.2-19:39.7  Простите, что сказал, что он, возможно, мёртв.
q0396  19:39.9-19:41.4  Это на меня не похоже.
q0397  19:44.1-19:45.2  Это что ещё?
q0398  19:45.6-19:46.7  Не может быть.
q0399  19:48.2-19:49.5  Соскарадар ещё не выложен.
q0400  19:49.7-19:51.5  Может, он его кому-то показывает?
q0401  19:53.8-19:54.3  Макачино.
q0402  19:54.7-19:57.0  Он погнал на велике в Сан-Хосе.
q0403  19:57.1-19:58.5  Жаред, можно твою машину?
q0404  19:58.6-19:58.9  Конечно.
q0405  19:59.2-20:00.4  У меня есть машина.
q0406  20:00.7-20:02.1  Чем тебе моя не угодила?
q0407  20:02.3-20:03.6  Мне надо... Не знаю.
q0408  20:03.6-20:06.0  И не забудь вести себя как мудак.
q0409  20:06.2-20:10.9  Настоящий мудак.
q0410  20:17.6-20:21.4  Здрасте, я Ричард Хендрикс. Вы танцевали у меня дома?
q0411  20:21.4-20:22.2  Твой друг здесь.
q0412  20:23.2-20:24.1  Мам, привет.
q0413  20:24.7-20:25.1  Привет.
q0414  20:25.5-20:26.2  По чекам!
q0415  20:26.5-20:28.0  Нет, ну блин, опять.
q0416  20:31.0-20:33.9  Я хотел программировать за деньги, вот и всё.
q0417  20:33.9-20:37.0  Я не хотел собачиться с соседями за какие-то проценты.
q0418  20:37.2-20:38.6  Так значит, всё бросишь?
q0419  20:38.7-20:39.0  Что?
q0420  20:40.3-20:41.4  Я у вас лишний.
q0421  20:42.0-20:43.5  Хоть наизнанку вывернись.
q0422  20:44.2-20:46.8  Что б я делал без визитки Макачино?
q0423  20:47.3-20:48.4  Куда бы я пошёл?
q0424  20:49.5-20:50.8  Я бледский лох.
q0425  20:51.3-20:54.4  Макачино, ты понравился, она тебя домой пустила.
q0426  20:54.9-20:56.2  Пришлось ей велик отдать.
q0427  21:16.1-21:25.6  бесполезную хрень. И вы так-то правы, друг. Мне нет места в пегом дудочнике. Со временем мы
q0428  21:25.6-21:26.9  определим твое место?
q0429  21:27.4-21:28.2  Да брось, друг.
q0430  21:29.3-21:31.5  Либо скажи, что я могу сделать, чего не могут
q0431  21:31.5-21:33.9  остальные, либо...
q0432  21:33.9-21:34.8  Я уйду.
q0433  21:38.1-21:38.8  Да.
q0434  21:40.2-21:40.9  Пойду
q0435  21:40.9-21:43.4  заберу барахло из хули и
q0436  21:43.4-21:45.7  валю нахрен из этого города.
q0437  21:48.9-21:50.7  Ну что ж, прощай.
q0438  21:53.3-21:54.9  Да мы дома, увидимся.
q0439  21:54.9-21:57.9  Я зайду вещи там собрать и...
q0440  21:57.9-21:58.5  Точняк.
q0441  21:59.1-22:00.9  Я поеду на электричке.
q0442  22:01.4-22:02.2  Подумаю там.
q0443  22:02.4-22:03.5  Ладно, до встречи.
q0444  22:06.1-22:07.0  Электричка там.
q0445  22:07.3-22:07.8  Я...
q0446  22:07.8-22:09.1  Я тоже хотел сказать.
q0447  22:09.2-22:09.6  Башка!
q0448  22:11.5-22:14.3  Если ты пришёл облить меня дерьмом, не трудись, хорошо?
q0449  22:14.5-22:15.3  Я не в духе.
q0450  22:15.6-22:18.7  Чел, я хотел сказать, Гэвин Белсон хочет с тобой поговорить.
q0451  22:18.8-22:20.2  А, ясно. Иди нахуй.
q0452  22:20.4-22:21.8  Нет, серьёзно.
q0453  22:21.8-22:25.5  Гэвин Белсон просил позвать Нельсона Бигетти?
q0454  22:26.1-22:26.3  Да.
q0455  22:26.8-22:27.9  А я что сказал?
