q0001  00:00.0-00:27.9  Кэнон Интернешнл представляет
q0128  13:06.3-13:36.3  СПОКОЙНАЯ МУЗЫКА
q0129  13:36.3-13:38.3  Девчонкируйся, пока не растворишься в медитации.
q0130  13:38.9-13:40.2  Пусть ничто не отвлекает.
q0131  13:40.9-13:44.5  Ты не должен видеть и ощущать ничего, кроме собственной энергии.
q0132  14:06.3-14:07.3  Ах!
q0133  14:08.3-14:09.3  Ах!
q0134  14:09.3-14:10.3  Ах!
q0135  14:10.3-14:11.3  Ах!
q0136  14:23.3-14:24.3  Ах!
q0137  14:36.3-15:06.2  Субтитры создавал DimaTorzok
q0138  15:06.3-15:36.2  Субтитры создавал DimaTorzok
q0139  15:36.3-16:06.2  Субтитры создавал DimaTorzok
q0140  16:06.3-16:36.2  Субтитры создавал DimaTorzok
q0141  16:36.3-17:06.2  Девушки отдыхают
q0142  17:06.3-17:08.3  Как вы себя чувствуете?
q0143  17:10.3-17:12.3  Как старый мужчина.
q0144  17:14.3-17:16.3  А как твои дела?
q0145  17:18.3-17:20.3  Я собираюсь в Гонконг.
q0146  17:20.3-17:22.3  Уверен, что хочешь это сделать?
q0147  17:22.3-17:24.3  Прославить вас.
q0148  17:24.3-17:28.3  Для меня это самое важное.
q0149  17:28.3-17:32.3  Я передал все свои знания тебе, сын мой.
q0150  17:32.3-17:37.0  Когда ты будешь драться, мой дух будет драться рядом с тобой.
q0151  17:38.8-17:41.0  Поверь, это тебе пригодится.
q0152  18:02.3-18:23.5  Эй, детка, не хочешь погулять с настоящим великаном?
q0153  18:23.9-18:24.5  Значит, нет?
q0154  18:32.3-18:34.6  Я слишком красив для тебя, да, милая?
q0155  18:39.9-18:41.3  Первый раз в Гонконге.
q0156  18:42.5-18:44.6  Вы приехали на Кумите, угадала?
q0157  18:45.5-18:47.6  Кумите? Что такое Кумите?
q0158  18:49.4-18:54.8  Бросьте, парни. Я знаю про тайные бои с полным контактом, которые проводятся в Гонконге на днях.
q0159  18:55.4-18:57.7  Да, Гонконг это очень необычный город.
q0160  18:58.5-19:01.1  А еще я знаю кое-что о некоторых из ваших противников.
q0161  19:02.3-19:04.3  Понятно.
q0162  19:06.3-19:08.5  Расскажите, как получили приглашение?
q0163  19:12.9-19:14.4  Спасибо, парни.
q0164  19:23.2-19:26.1  Чего? Не струсишь со мной сразиться?
q0165  19:26.9-19:28.0  Ну что, я бы попробовал.
q0166  19:29.4-19:31.0  Вот это я одобряю.
q0167  19:31.0-19:33.0  Так малыш не боится продуть?
q0168  19:33.0-19:34.0  Нет, нет, я плачу.
q0169  19:34.0-19:36.0  Мне твои богатства ни к чему.
q0170  19:37.0-19:38.0  Ты готов?
q0171  19:38.0-19:39.0  Да.
q0172  20:01.0-20:09.1  Увлекаешься драками?
q0173  20:09.7-20:09.9  Да.
q0174  20:10.8-20:13.4  Хочешь увидеть настоящий бой, приходи на Кумите.
q0175  20:14.6-20:16.0  Я сам приехал на Кумите.
q0176  20:17.5-20:19.5  Не слишком мало для полного контакта?
q0177  20:20.3-20:23.0  А ты не слишком стар для видеоигр?
q0178  20:23.8-20:25.2  Что, еще партия?
q0179  20:25.9-20:26.1  Да.
q0180  20:31.0-20:32.3  Пах, пах.
q0181  20:40.9-20:43.4  Неплохо, малыш. Я Рэй Джексон.
q0182  20:43.6-20:44.5  А я Фрэнк Дюкс.
q0183  20:53.1-20:54.2  Миссис Танака?
q0184  20:54.7-20:55.7  Миссис Танака?
q0185  20:56.3-20:56.7  Да.
q0186  20:57.3-20:59.8  Миссис Танака, правительству Соединенных Штатов
q0187  20:59.8-21:02.0  Крайне важно, чтобы мы нашли Фрэнка Дюкса.
q0188  21:02.4-21:05.6  Насколько мы понимаем, он недавно навещал мистера Танаку.
q0189  21:06.5-21:08.6  Мистер Танако тяжело болен.
q0190  21:08.8-21:10.2  О, это весьма прискорбно.
q0191  21:11.2-21:13.0  Так Фрэнк появлялся здесь?
q0192  21:13.6-21:16.1  Фрэнк заходил выразить свое уважение.
q0193  21:16.5-21:17.1  Давно это было?
q0194  21:17.3-21:18.1  Два дня назад.
q0195  21:18.5-21:21.9  Он случайно не упоминал, что собирается отправиться в Гонконг?
q0196  21:22.8-21:24.1  Я не знаю.
q0197  21:24.6-21:26.8  Конечно, знаете. Вот что, может, хватит нас...
q0198  21:26.8-21:30.2  Я сестанака. Просим прощения, что доставили вам беспокойство.
q0199  21:30.7-21:32.4  Спасибо, что нашли для нас время.
q0200  21:39.7-21:41.1  Чем я могу вам помочь?
q0201  21:41.2-21:44.6  Здорово, старина. Я Джексон, это мистер Фрэнк Дюкс. Готовы наши номера?
q0202  21:44.6-21:48.2  Мистер Лин из номера 310 хочет с вами поговорить.
q0203  21:48.9-21:50.4  Какой нахрен мистер Лин?
q0204  21:50.8-21:52.2  Я Лин. Ты Джексон?
q0205  21:53.1-21:54.1  Ты похож на Джексона.
q0206  21:56.8-21:58.1  Ну, а ты выходит Фрэнк Дюкс.
q0207  21:58.7-22:00.9  Нет, нет, нет, я Дюкс.
q0208  22:01.5-22:03.9  Усёк, Фрэнк и Дюкс из номера Люкс.
q0209  22:04.5-22:06.2  Ладно, в общем, мы должны усечь.
q0210  22:06.4-22:08.0  Таких кумитей ещё не бывало.
q0211  22:08.4-22:09.9  Съедутся бойцы со всего света.
q0212  22:11.0-22:13.1  Ассоциация поручила мне помочь лично вам.
q0213  22:13.4-22:16.4  И другим американским бойцам освоиться в наших краях.
q0214  22:17.2-22:19.2  Я прослежу, чтобы вы выступили как надо.
q0215  22:19.2-22:22.4  И не вылетели за драки за пределами арены.
q0216  22:23.9-22:26.4  Триада, это вроде местной мафии.
q0217  22:26.8-22:29.2  Дала нам разрешение провести кумитет здесь.
q0218  22:33.4-22:36.0  Вот мы и на месте. Город-крепость.
q0219  22:36.8-22:38.0  Опасное место для чужаков.
q0220  22:38.9-22:40.0  Вы в Гонконге, парни.
q0221  22:40.5-22:43.8  И сейчас мы пересекаем незримую границу с континентальным Китаем.
q0222  22:44.7-22:45.8  Вы усекли?
q0223  22:46.3-22:49.6  Это как государство без хозяев в самом сердце туристического рая.
q0224  22:50.5-22:54.8  Оно появилось еще когда Великобритания заключила ту самую сделку с Китаем.
q0225  22:54.8-22:58.5  Так что, как только вы перешли с широких площадей в узкие переулки,
q0226  23:29.9-23:59.9  Субтитры сделал DimaTorzok
q0227  23:59.9-24:29.9  ПОДПИШИСЬ НА КАНАЛ
q0228  24:29.9-24:59.9  ТРЕВОЖНАЯ МУЗЫКА
q0229  24:59.9-25:29.9  ДИНАМИЧНАЯ МУЗЫКА
q0230  25:29.9-25:31.9  Усёк?
q0231  25:59.9-26:03.4  Там написано, что он представляет клан Танаки.
q0232  26:04.8-26:07.0  Ты не очень похож на Танаку.
q0233  26:07.4-26:09.3  Учитель Танака мой тренер.
q0234  26:09.8-26:10.7  Чем вы недовольны?
q0235  26:11.2-26:14.1  Он утверждает, что его тренировал сам Сензо Танака.
q0236  26:14.7-26:17.6  Да будь его учителем, хоть Брюс Спрингстон, вам-то что?
q0237  26:18.0-26:22.8  Если его действительно учил Сензо Танака, то пускай он покажет нам Диммак.
q0238  26:23.2-26:25.2  Что еще за хреновина, Диммак?
q0239  26:26.1-26:27.2  Касание смерти.
q0240  26:29.9-26:36.5  Спасибо.
q0241  26:38.1-26:40.4  Вик, выбери кирпич.
q0242  26:41.9-26:42.6  Хорошо, Фрэнк.
q0243  26:44.4-26:45.9  Как насчет вот этого?
q0244  26:47.8-26:48.7  Не знаю.
q0245  26:53.7-26:54.6  Нет!
q0246  26:57.5-26:59.2  Тот, что внизу.
q0247  26:59.9-27:29.9  Валерий Курас
q0248  27:29.9-27:33.5  О, да!
q0249  27:39.5-27:41.1  Эх ты, сукин сын!
q0250  27:41.8-27:42.9  Теперь вы довольны, парни?
q0251  27:44.2-27:46.4  Мы подтверждаем приглашение.
q0252  27:47.0-27:49.1  Попробовали бы вы не подтвердить.
q0253  27:49.8-27:50.3  Лапа!
q0254  27:50.5-27:52.1  Ну ты даешь, мужик!
q0255  27:59.9-28:00.9  Очень хорошо.
q0256  28:02.0-28:04.2  Но кирпич не до сдачи.
q0257  28:22.5-28:25.3  Вот фотография человека, которого мы ищем.
q0258  28:26.0-28:28.0  Его зовут Фрэнк Дюкс.
q0259  28:28.0-28:32.7  Мы предполагаем, что сейчас Фрэнк здесь, в Гонконге
q0260  28:32.7-28:36.9  Мы знаем, что два дня назад он прилетел сюда из Сан-Франциско
q0261  28:36.9-28:38.1  Два дня назад?
q0262  28:38.7-28:40.9  Может, он уже уехал еще куда-нибудь?
q0263  28:41.7-28:43.4  Азия, знаете ли, не такая уж маленькая
q0264  28:43.4-28:45.6  Мы бы предпочли, чтобы вы оставили это у себя
q0265  28:45.6-28:48.6  Подозреваем, Фрэнк собирается сражаться на Кумите
q0266  28:48.6-28:49.9  Этого допустить нельзя
q0267  28:49.9-28:54.5  На Кумите?
q0268  28:56.2-28:56.8  Да
q0269  28:56.8-28:57.8  Да.
q0270  29:12.3-29:13.3  Инспектор Чен.
q0271  29:14.1-29:17.3  Всем известно, что в этом году кумитэ состоится здесь, в Гонконге.
q0272  29:17.8-29:20.5  И мы все знаем, что будет твориться здесь в ближайшие три дня.
q0273  29:22.6-29:25.1  Инспектор, мы всего лишь просим раздать снимки вашим людям.
q0274  29:25.6-29:28.1  Если кто заметит Дюкса, пусть сообщит. Вот и все.
q0275  29:28.5-29:29.9  У моих людей хватает работы?
q0276  29:31.3-29:34.2  Раз это так хлопотно, забудьте. Просто мы...
q0277  29:34.2-29:35.9  Нам всем хватает работы.
q0278  29:36.5-29:38.2  Но мы ждем от вас помощи.
q0279  29:39.6-29:40.5  Что можем, сделаем.
q0280  29:42.0-29:43.1  Знаете, где нас найти?
q0281  29:47.1-29:49.3  Пойдешь со мной наверх, я дам тебе интервью.
q0282  29:49.8-29:51.0  Не мечтаю, бери-ка руки.
q0283  29:51.5-29:52.7  Ты хочешь Хасана, нет?
q0284  29:53.0-29:54.7  Вот еще, Хасан наглый урод.
q0285  29:54.7-29:55.8  Как ты меня назвала?
q0286  29:56.5-29:58.0  Тебе что, по слогам повторить?
q0287  30:04.3-30:05.4  Оставь девушку.
q0288  30:05.8-30:08.7  Американский сосунок, который любит фокусы с кирпичами.
q0289  30:09.2-30:11.8  Кажется, в этом году кумите начнется на день раньше.
q0290  30:11.8-30:13.8  Ребята, давайте ко всем успокоимся, ладно?
q0291  30:14.5-30:16.2  Девчушка пойдет со мной наверх?
q0292  30:16.6-30:17.5  Нет, не пойду.
q0293  30:17.5-30:22.1  Если мы из-за нее подеремся, то нас обоих просто вышвырнут из кумите.
q0294  30:22.1-30:24.3  Она этого стоит?
q0295  30:24.7-30:28.1  Мы можем разобраться по-другому.
q0296  30:29.6-30:30.7  Как насчет пари?
q0297  30:31.1-30:32.0  Какое пари?
q0298  30:33.1-30:34.0  Видишь монетку?
q0299  30:34.8-30:37.1  Я заберу ее прежде, чем ты сожмешь кулак.
q0300  30:37.8-30:38.5  И девушка моя.
q0301  30:39.8-30:43.3  Если я не смогу, она твоя.
q0302  30:44.8-30:45.5  Прекрасно.
q0303  30:45.9-30:47.7  Что? Это же невозможно.
q0304  30:48.2-30:49.4  Просто расслабься.
q0305  30:49.4-30:54.9  Давай руку.
q0306  30:58.9-31:01.6  Боже, Фрэнки, надеюсь, ты знаешь, что делаешь.
q0307  31:03.7-31:04.7  Готов.
q0308  31:09.4-31:10.3  Давай.
q0309  31:12.2-31:15.0  Ты проиграл, американский придурок.
q0310  31:19.4-31:27.7  Моя монетка у меня.
q0311  31:28.9-31:30.5  Так что оставь даму в покое.
q0312  31:30.7-31:31.4  Ты понял меня?
q0313  31:35.5-31:37.3  Зачем ты связалась с Хасаном?
q0314  31:39.5-31:42.2  Я все надеюсь написать статью о Кумите.
q0315  31:42.7-31:43.6  Я журналистка.
q0316  31:46.7-31:48.4  Он что-нибудь рассказал?
q0317  31:49.4-31:51.5  Что у меня стройные ножки?
q0318  31:52.5-31:54.1  И он тебя не обманул.
q0319  31:55.0-31:57.0  Почему никто не хочет поговорить о кумите?
q0320  31:58.0-32:00.1  Кому нужна эта завеса тайны?
q0321  32:00.4-32:02.2  Я всего лишь пытаюсь разобраться.
q0322  32:03.2-32:05.0  Скажи, ради чего будешь драться ты?
q0323  32:06.0-32:06.8  Это личное.
q0324  32:07.6-32:09.7  Хочешь доказать всему миру, что ты мужчина?
q0325  32:09.8-32:11.3  Нет, кумите для бойцов.
q0326  32:11.8-32:14.0  А вовсе не для людей, которые читают газеты.
q0327  32:14.6-32:16.8  Говорят, там царит неоправданная жестокость.
q0328  32:17.6-32:19.7  Это вроде петушиных боев, только с людьми.
q0329  32:20.7-32:22.4  Нет, ты все понимаешь не так.
q0330  32:23.6-32:25.1  Ну так расскажи же мне, Фрэнк.
q0331  32:25.5-32:27.2  Я хочу видеть всю картину.
q0332  32:28.5-32:29.5  Хорошо, мы поговорим.
q0333  32:29.9-32:31.5  Но с одним условием.
q0334  32:32.1-32:32.8  С каким же?
q0335  32:33.5-32:36.4  Ты согласишься поужинать со мной завтра вечером.
q0336  32:37.4-32:39.8  А я-то надеялась, что меня пригласит Хасан.
q0337  32:46.8-33:16.8  Я не могу.
q0338  33:16.8-33:22.0  Слушай, хватит фигней заниматься.
q0339  33:22.1-33:23.8  Вдруг когда-нибудь решишься детей завести.
q0340  33:29.6-33:31.1  Виктор уже ждет внизу.
q0341  33:31.4-33:33.2  Кумитей экспресс уходит через пять минут.
q0342  33:40.2-33:41.4  Ты слышишь?
q0343  33:46.8-33:49.8  Я готов
q0344  33:49.8-34:04.8  Тут даже воздух пропитан адреналином, скажи, Фрэнк
q0345  34:04.8-34:05.3  Да
q0346  34:05.3-34:10.8  Девчата обалдеют, когда я выйду на арену
q0347  34:10.8-34:13.7  Девочки любят азиатов, потому что мы красавцы, Усяк
q0348  34:16.8-34:33.5  Добро пожаловать, воины со всего света
q0349  34:33.5-34:39.8  Сегодня вы все сможете прикоснуться к традиции, которая зародилась сотни лет назад
q0350  34:39.8-34:46.3  Кумите было создано Кокурюкаем, обществом Черного Дракона
q0351  34:46.3-34:52.2  Для того, чтобы оценить бойцовские навыки и силу духа его членов.
q0352  34:52.8-35:01.1  С тех пор каждые пять лет опытнейшие бойцы этой организации сходились друг с другом в беспощадной схватке.
q0353  35:01.9-35:07.9  И лишь один мог выйти победителем, доказав, что он лучший из лучших, что он чемпион.
q0354  35:07.9-35:22.8  В наше время спонсором этих соревнований, а значит и хранителем богатого и красочного наследия, доставшегося нам от общества черного дракона, стала Международная ассоциация боевых искусств.
q0355  35:24.6-35:32.9  Через три дня кто-то из бойцов докажет, что достоин зваться чемпионом. Пусть же победит сильнейший.
q0356  35:37.9-35:52.6  Сен-Билл против Сауанна Парагаса.
q0357  36:07.9-36:11.2  Итак, запомните, это полный контакт.
q0358  36:11.5-36:12.8  Есть три способа выиграть.
q0359  36:13.1-36:14.7  Первый – вырубить противника.
q0360  36:15.3-36:18.3  Второй – заставить его закричать «Матте».
q0361  36:18.3-36:19.3  Это типа сдаюсь.
q0362  36:20.4-36:22.5  Третий – выбросить ублюдка за ринг.
q0363  36:23.3-36:24.7  Проще простого.
q0364  36:26.0-36:27.0  Ширинь!
q0365  36:31.8-36:32.6  Подобери!
q0366  36:37.9-36:58.7  Вот за что этот спорт назвали кровавым.
q0367  37:07.9-37:37.9  ДИНАМИЧНАЯ МУЗЫКА
q0368  37:37.9-38:01.9  Почти!
q0369  38:01.9-38:02.9  Придурок!
q0370  38:02.9-38:03.9  Адрик!
q0371  38:07.9-38:09.5  Стоп!
q0372  38:25.2-38:27.2  Ну давай, вставай же!
q0373  38:28.3-38:30.9  Я тебя вообще убью, мужик!
q0374  38:31.3-38:32.1  Да, тебя!
q0375  38:34.2-38:35.2  Ты понял?
q0376  38:37.9-38:42.6  Франки!
q0377  38:44.2-38:45.8  Ты погляди на него, да?
q0378  38:47.6-38:48.2  Да!
q0379  38:54.8-38:55.8  Неплохо я его, да?
q0380  38:56.0-38:57.2  Отличный бой, Джексон.
q0381  38:57.3-38:57.5  Спасибо.
q0382  39:00.5-39:02.9  Но, чего ты так долго ждал?
q0383  39:02.9-39:04.8  Как смешно. Обхохучишься.
q0384  39:05.8-39:06.4  Пошел ты.
q0385  39:06.4-39:09.3  Чон Ли против Буди Мама Пранг
q0386  39:09.3-39:11.7  Что это с ними?
q0387  39:12.7-39:14.4  Это Чон Ли, чемпион
q0388  39:14.4-39:15.8  Ни единого поражения
q0389  39:15.8-39:17.5  У него целая куча рекордов
q0390  39:17.5-39:19.3  В том числе самый быстрый нокаут
q0391  39:19.3-39:21.8  В последнем бою он убил противника
q0392  39:21.8-39:24.7  Да, засадил бедняги ногой прямо в горло
q0393  39:24.7-39:27.4  Парень откинулся тут же на ринге
q0394  39:27.4-39:29.8  А Чон Ли стоял и смотрел на него
q0395  39:36.4-39:38.4  ВИЗГЛАСЫ
q0396  40:06.4-40:35.4  Новый мировой рекорд 14,8 секунды.
q0397  40:36.4-40:39.5  Садик Хасан против Фрэнка Дюкса.
q0398  40:51.5-40:54.8  Теперь моя очередь показывать фокусы.
q0399  40:54.8-40:57.8  Фильм!
q0400  41:03.8-41:05.7  Фильм!
q0401  41:06.4-41:23.3  Бухты! Вот это скорость!
q0402  41:36.4-41:41.6  О, да!
q0403  41:45.6-41:49.0  Новый мировой рекорд. 12,2 секунды.
q0404  41:49.4-41:52.2  Малыш первый раз и уже побил мировой рекорд.
q0405  41:52.3-41:53.5  Да! Видел?
q0406  42:06.4-42:36.3  Субтитры создавал DimaTorzok
q0407  42:36.4-43:06.3  Субтитры сделал DimaTorzok
q0408  43:06.4-43:36.3  Субтитры сделал DimaTorzok
q0409  43:36.4-44:06.3  Субтитры сделал DimaTorzok
q0410  44:06.4-44:36.3  ДИНАМИЧНАЯ МУЗЫКА
q0411  44:36.4-44:39.9  Я знаю, никак его не поймаю. Может попросить их сначала пристрелить его?
q0412  44:41.2-44:42.8  Лучше попросите вилки.
q0413  44:42.9-44:46.6  Инспектор Чен. Какой приятный сюрприз. Присаживайтесь.
q0414  44:46.6-44:50.1  Нет, я здесь никогда не ем. У меня есть для вас информация.
q0415  44:50.8-44:51.8  Мы слушаем, инспектор.
q0416  44:52.5-44:54.6  Дюкс остановился в гостинице из Плэйк.
q0417  44:55.9-44:56.5  Благодарю.
q0418  44:57.0-44:57.4  Спасибо.
q0419  44:58.4-45:00.4  Эй, отведай-ка у гуля.
q0420  45:06.4-45:15.6  Ну что же, Дюкс, ты знаешь, зачем мы здесь.
q0421  45:16.5-45:18.1  Мы возвращаемся домой, Фрэнк.
q0422  45:19.0-45:21.0  Как только закончится кумите.
q0423  45:21.2-45:22.9  Эй, Фрэнки, кто эти два недоноска?
q0424  45:23.3-45:26.0  Не лезь в это, приятель, это тебя не касается, ясно?
q0425  45:26.4-45:28.6  Какой я тебе приятель, чучело?
q0426  45:31.1-45:35.5  Слушай, Фрэнк, правительство штатов вбухало в тебя кучу времени и денег.
q0427  45:36.1-45:38.0  Дядя Сэм не хочет, чтобы тебя покалечили.
q0428  45:38.2-45:39.2  Меня не покалечит.
q0429  45:39.7-45:42.2  Потому-то мы приехали убедиться в этом.
q0430  45:43.3-45:44.9  Не усложняй нам работу, Фрэнк.
q0431  45:54.0-45:56.6  Я буду в аэропорту через два дня.
q0432  45:57.5-45:58.9  Жаль, но так не пойдёт.
q0433  45:59.5-46:00.7  Фрэнк, читай по губам.
q0434  46:01.3-46:02.7  Мы забираем тебя домой.
q0435  46:03.1-46:03.9  Прямо сейчас.
q0436  46:05.5-46:15.8  50 000
q0437  46:16.8-46:18.8  Не шевелись. Ты понял? Лежи тут.
q0438  46:23.8-46:24.8  Понял?
q0439  46:34.8-47:04.8  Субтитры сделал DimaTorzok
