q0001  00:00.5-00:01.4  Здравствуй, сын.
q0253  12:17.6-12:21.7  Бен Франклин, а вы носите боксеры, трусы или подштанники?
q0254  12:21.9-12:25.9  Ну, вы довольно дерзкая.
q0255  12:29.1-12:33.6  Парни, говядина лучшая на ужин.
q0256  12:34.7-12:36.7  Кто хочет мужского мяса?
q0257  12:37.0-12:38.8  Я хочу, я хочу мужского мяса.
q0258  12:38.9-12:40.4  Майкл Дуэйд хочет вашего мужского мяса.
q0259  12:40.5-12:42.1  Ну, значит, мясо он и получит.
q0260  12:43.6-12:44.2  Держи.
q0261  12:46.2-12:46.9  Вкуснятина.
q0262  12:48.2-12:48.8  Разумеется.
q0263  12:50.6-12:54.6  Ну, смотри, у тебя есть костюмы парик Бена Франклина, и ты думаешь,
q0264  12:55.3-12:56.6  и что прикажете с ними делать?
q0265  12:56.6-13:02.5  Я думаю, что его отец был имитатором Бена Франклина и заставил его заниматься тем же.
q0266  13:04.6-13:07.2  Эй, я хотела с тобой поговорить.
q0267  13:07.6-13:12.5  Знаю, это немного странно, но Джем рассказал мне про вас.
q0268  13:13.6-13:14.5  Что ты имеешь в виду?
q0269  13:15.3-13:16.2  Ну, ваш поцелуй.
q0270  13:17.4-13:19.6  Мы всё обговорили, и всё в порядке.
q0271  13:20.1-13:20.8  Это же мелочь.
q0272  13:21.4-13:22.1  Один поцелуй.
q0273  13:22.1-13:26.8  Он же тебе больше не интересен?
q0274  13:28.2-13:28.7  О, да
q0275  13:28.7-13:31.1  Правда?
q0276  13:32.6-13:33.2  О, нет
q0277  13:33.2-13:35.8  Я просто запуталась в словах
q0278  13:35.8-13:38.1  Тебе стоит встречаться с Джимом
q0279  13:38.1-13:39.8  То есть ты встречаешься с Джимом
q0280  13:39.8-13:41.1  Я не хочу с ним встречаться
q0281  13:41.1-13:45.0  Ты с ним встречаешься, и это прекрасно, потому что вы подходите друг к другу
q0282  13:45.0-13:46.6  Хорошо
q0283  13:46.6-13:48.4  Я не влюблена в Джима
q0284  13:48.4-13:49.8  Да
q0285  13:49.8-13:53.2  Ну, тогда хорошо?
q0286  13:54.0-13:54.2  Да
q0287  13:54.2-13:56.7  Прости
q0288  13:56.7-14:00.0  За что ты извиняешься?
q0289  14:01.8-14:02.5  Что?
q0290  14:03.2-14:04.2  За что ты извинилась?
q0291  14:05.7-14:06.1  Не за что?
q0292  14:06.6-14:08.3  Просто подумала кое о чем другом
q0293  14:08.3-14:09.2  Ладно
q0294  14:09.2-14:11.5  Игра без лимитов от двух до семи
q0295  14:11.5-14:12.4  Лобал
q0296  14:12.4-14:14.3  Блайнды 25.50
q0297  14:14.3-14:16.2  Пять центов десять
q0298  14:16.2-14:17.5  Десятки 25
q0299  14:17.5-14:18.4  Четвертоки 50
q0300  14:18.4-14:19.1  Ничего сложного
q0301  14:19.1-14:20.9  Я перетасую. Поехали.
q0302  14:25.3-14:26.0  Майкл.
q0303  14:29.6-14:32.9  Господа, начинается представление.
q0304  14:33.3-14:35.1  Хочу представить вам Элизабет.
q0305  14:35.9-14:36.8  Привет, ребят.
q0306  14:37.5-14:39.2  Какой милый костюмчик.
q0307  14:39.7-14:42.0  Я слышала, здесь сегодня важное собрание.
q0308  14:42.8-14:44.6  Мне не очень нравится стриптиз.
q0309  14:45.4-14:46.8  Знаете, что для меня сексуально?
q0310  14:47.2-14:47.8  Картины Пэм.
q0311  14:48.8-14:50.9  Она художник, и я ценю это.
q0312  14:52.8-14:58.1  Оно очень волнующее и сексуальное искусство.
q0313  14:59.4-14:59.9  Включай.
q0314  15:04.9-15:06.4  Ну, где жених?
q0315  15:07.0-15:08.8  О, он здесь.
q0316  15:09.1-15:09.8  Вот и он.
q0317  15:10.0-15:10.6  Абсолютно нет.
q0318  15:11.8-15:13.1  Всё для вас, всё для вас.
q0319  15:14.5-15:16.8  Ладно, хорошо я это сделаю.
q0320  15:17.6-15:18.9  Да, давай это сделаем.
q0321  15:19.2-15:20.0  Сделаем это.
q0322  15:20.9-15:22.2  Да? Что мне надо?
q0323  15:22.4-15:23.5  Просто садись.
q0324  15:24.1-15:24.6  Хорошо.
q0325  15:24.8-15:25.2  Хорошо.
q0326  15:25.7-15:26.0  Ладно.
q0327  15:26.2-15:26.8  Поехали.
q0328  15:27.3-15:28.3  Поехали, хорошо?
q0329  15:28.6-15:29.1  Да.
q0330  15:30.2-15:31.7  Неплохо, неплохо.
q0331  15:32.3-15:34.1  Ты хорошо пахнешь, как Тайт.
q0332  15:34.4-15:35.3  Это что?
q0333  15:36.4-15:38.1  Пахнешь, как порошок Тайт.
q0334  15:38.8-15:41.0  Ты пользуешься порошком Тайт?
q0335  15:58.7-16:00.7  Выключите музыку, потому что это неправильно.
q0336  16:02.9-16:04.3  Это неправильно, неправильно.
q0337  16:05.0-16:07.0  У меня есть девушка, я...
q0338  16:07.0-16:07.9  А ты обручён.
q0339  16:08.2-16:10.6  А у тебя, наверное, парень в тюрьме или ещё что.
q0340  16:11.9-16:13.2  Давай всё проясним, да?
q0341  16:14.1-16:15.0  Как вам не стыдно?
q0342  16:15.0-16:19.0  Возвращайтесь к работе
q0343  16:19.5-16:23.9  Элизабет, я хочу, чтобы ты села сюда
q0344  16:23.9-16:25.5  Если телефон зазвонит, ответь
q0345  16:25.5-16:29.0  Хочешь, чтобы я отвечала на звонки в одежде?
q0346  16:29.7-16:32.2  Мы наняли тебя на три часа, и мы их получим
q0347  16:32.2-16:39.3  Мне нравится твой постер
q0348  16:39.3-16:41.9  Спасибо
q0349  16:45.0-16:55.3  Знаете, я изобрёл электричество
q0350  16:55.3-16:56.5  Я знаю
q0351  16:56.5-16:59.5  Я чувствую электричество вот здесь
q0352  16:59.5-17:03.1  А у Бена Франклина не было сифилиса?
q0353  17:04.3-17:04.7  Был
q0354  17:04.7-17:06.7  Но у меня нет
q0355  17:06.7-17:08.8  Меня зовут Гордон
q0356  17:08.8-17:14.2  С одной стороны, я хочу быть честным с Дженой, сказать ей правду
q0357  17:14.2-17:16.4  С другой стороны, я боюсь, что набросит меня.
q0358  17:17.8-17:21.0  Знаете, Майкл, у меня был незаконорожденный сын.
q0359  17:21.5-17:21.9  Правда?
q0360  17:22.0-17:24.4  Но я скрыл это от моей жены Деборы.
q0361  17:25.1-17:30.1  Такие вещи только расстраивают женщин, а не слабый пол.
q0362  17:31.8-17:32.2  Ого.
q0363  17:33.9-17:36.1  Бен Франклин, а вы довольно мерзкий тип.
q0364  17:40.2-17:40.8  Срептизерша?
q0365  17:41.4-17:43.5  Можно задать вопрос насчет женщин?
q0366  17:44.2-17:50.5  Стоит мне сказать своей девушке, что ты танцевала для меня
q0367  17:50.5-17:57.1  Радости в секретах нет
q0368  17:57.1-18:00.5  От секретов тускнет свет
q0369  18:00.5-18:03.0  Ого
q0370  18:03.0-18:05.7  Спасибо
q0371  18:05.7-18:11.4  Хотите шоколада?
q0372  18:12.4-18:13.7  Шоколад, где вы его добыли?
q0373  18:13.7-18:17.4  Это деликатес в Амазонии, но его ещё не импортируют в США.
q0374  18:18.7-18:26.0  Кто король в Австрии? Джозеф II. Кто правец в Пруссии? Ридрих Вильгельм III. Кто король Англии? Тиран-король Георг, конечно.
q0375  18:27.0-18:32.7  Мне плевать, что говорит Джим. Это не настоящий Бен Франклин. Уверен на 99%.
q0376  18:33.6-18:39.8  Майкл, я ушла в совещание. Что такого срочного? Ты в порядке?
q0377  18:39.8-18:45.4  Не совсем. Я не знаю, как это сказать, но скажу.
q0378  18:46.3-18:55.5  Хорошо. Я ходил на мальчишник, и там всё вышло из-под контроля.
q0379  18:57.3-19:00.2  Когда? Когда ты... Когда? Вчера ночью?
q0380  19:00.6-19:02.1  Нет, сегодня на работе.
q0381  19:02.5-19:04.0  Ты ходил на мальчишник на работе?
q0382  19:04.2-19:05.5  Да, я его организовал.
q0383  19:06.3-19:08.3  Я не думаю, что стриптизерша была красивой.
q0384  19:08.3-19:09.9  Ребята, думаете, она была красивой?
q0385  19:10.0-19:10.9  Элли, не делай этого.
q0386  19:11.0-19:12.5  Делать что? Я просто задала вопрос.
q0387  19:12.5-19:13.5  Ты знаешь, что ты делаешь.
q0388  19:14.2-19:16.0  Ну, а кто флиртовал с Беном Франклином?
q0389  19:17.1-19:17.4  Мам!
q0390  19:18.5-19:19.0  Правда?
q0391  19:19.8-19:21.5  Кажется, я нанял правильного парня.
q0392  19:21.7-19:22.0  Я рад.
q0393  19:22.5-19:23.8  В нём есть потенциал, Бизли?
q0394  19:25.0-19:26.2  Да, точно.
q0395  19:27.6-19:28.8  Боже, мне нужен парень.
q0396  19:30.4-19:33.0  Знаешь, Райан, я...
q0397  19:33.0-19:35.9  Я готова встретиться с одним из твоих приятелей по бизнес-школе.
q0398  19:36.3-19:36.8  Когда угодно.
q0399  19:37.4-19:37.8  Хорошо.
q0400  19:38.3-19:42.1  Боже мой
q0401  19:42.1-19:44.5  Я бы так растолстела, если бы работала здесь
q0402  19:44.5-19:46.5  Да, а у меня всё время аппетита нет
q0403  19:46.5-19:49.7  Ты могла бы быть танцовщицей
q0404  19:49.7-19:51.2  Спасибо
q0405  19:51.2-19:54.6  Так ты не хочешь закончить наши отношения?
q0406  19:54.6-19:55.7  Я хочу тебя уволить
q0407  19:55.7-19:56.6  Это так мило
q0408  19:56.6-20:00.9  Ты лучшая девушка-директор в мире, ты знаешь?
q0409  20:01.0-20:02.2  Я с тобой потом поговорю
q0410  20:02.2-20:02.5  Честно?
q0411  20:03.3-20:03.9  Так и есть
q0412  20:03.9-20:06.3  Ты знаете, кто оказался слезняком?
q0413  20:06.3-20:09.1  Бен Франклин.
q0414  20:10.5-20:15.6  А Элизабет, стриптизерша, дала мне великий совет, даже в рифме.
q0415  20:17.4-20:22.9  Теперь становится интересно, почему Бен Франклин мог стать президентом,
q0416  20:23.5-20:25.5  а такая, как Элизабет, не может.
q0417  20:27.4-20:29.8  Вы близорукий или дальнозоркий?
q0418  20:30.1-20:32.4  И то, и то. Так я изобрёл бифокальные очки.
q0419  20:36.3-21:06.3  Продолжение следует...
q0420  21:06.3-21:11.0  Продолжение следует...
