q0001  00:00.0-00:03.4  Доброе утро, Пэм.
q0045  02:09.4-02:10.8  Тоби проинструктирует.
q0046  02:11.9-02:14.2  Ну, а я хочу, чтобы все получили удовольствие.
q0047  02:15.1-02:17.5  Мы пойдём слушать выступление Дэрила на складе.
q0048  02:18.2-02:22.5  И, насколько я знаю Дэрила, это будет фиговенько.
q0049  02:23.3-02:23.7  Теперь.
q0050  02:25.0-02:27.3  Это вилочный погрозчик.
q0051  02:27.3-02:30.2  Вам нужна лицензия, чтобы управлять этой машиной.
q0052  02:30.7-02:33.8  Это значит, что сотрудники офиса не могут ей управлять.
q0053  02:34.7-02:35.9  Вопрос, Майк.
q0054  02:36.5-02:38.3  Должны ли вы управлять подъёмником?
q0055  02:38.4-02:39.2  Я могу и буду.
q0056  02:39.2-02:41.0  Нет, нет, нет, я сказал «должны ли».
q0057  02:41.0-02:42.3  Вы не должны им управлять.
q0058  02:43.0-02:44.6  Вы не можете управлять подъёмником.
q0059  02:44.7-02:46.3  Вам не позволено управлять подъёмником.
q0060  02:46.3-02:48.1  Это небезопасно, у вас должна быть лицензия.
q0061  02:48.1-02:50.2  Ребята, не только я управлял подъёмником.
q0062  02:50.3-02:51.9  Патч ездила на подъёмнике.
q0063  02:51.9-02:52.3  Мэтч!
q0064  02:53.3-02:54.6  Я думал, тебя зовут Патч.
q0065  02:54.6-02:56.5  Нет, всю жизнь звали Мэтч.
q0066  02:56.7-02:57.0  Ладно.
q0067  02:57.3-02:59.0  Она?
q0068  02:59.3-03:00.2  Она? Да.
q0069  03:00.5-03:03.3  Она обучена работать на опасной машине, а вы нет.
q0070  03:03.5-03:03.8  Ясно?
q0071  03:05.0-03:05.6  Ясно?
q0072  03:05.8-03:06.1  Ладно.
q0073  03:06.5-03:07.3  Вы это поняли?
q0074  03:07.8-03:08.3  Да.
q0075  03:08.9-03:12.1  Мы проводим инструктаж или раз в год, или после инцидентов.
q0076  03:13.3-03:15.2  Ни разу не продержались целый год.
q0077  03:16.0-03:19.2  В этот раз я доставал коробку с товаром с верхней полки,
q0078  03:20.3-03:24.3  когда один сотрудник Офиса, пожелавший остаться неизвестным,
q0079  03:24.3-03:27.3  выбил из-под меня лестницу и закричал.
q0080  03:27.4-03:28.9  Эй, Берилл, как висится?
q0081  03:30.6-03:33.8  Я упал и повредил лодыжку, и...
q0082  03:33.8-03:36.1  я обоснованно боюсь за своих работников.
q0083  03:36.9-03:39.6  Пресс может расплющить мотор машины.
q0084  03:40.7-03:44.5  Он может отрезать вам руку и раздавить всё тело, не скрипнув.
q0085  03:45.0-03:45.3  Да!
q0086  03:47.4-03:50.6  Сколько людей в год, как вы думаете, теряют руки в прессе?
q0087  03:51.5-03:52.0  В прессе?
q0088  03:52.2-03:53.2  Журналюги опасны.
q0089  03:53.5-03:55.0  Проклятье, Майкл, будьте внимательнее.
q0090  03:55.0-03:56.5  Кто-нибудь хочет угадать?
q0091  03:56.6-03:58.2  Пять баксов на то, что больше полтинника.
q0092  03:58.3-03:59.3  Хочешь сделать ставку?
q0093  03:59.3-03:59.9  Кто-нибудь.
q0094  04:00.2-04:02.7  С тех пор, как закончился безумный чемпионат, мне так скучно.
q0095  04:03.0-04:03.4  Сколько?
q0096  04:04.1-04:04.8  Ладно, я в деле.
q0097  04:05.1-04:06.9  Десять человек, Майкл, десять.
q0098  04:07.4-04:08.5  Хотите стать одним из них?
q0099  04:09.1-04:10.8  Нет, не надо сейчас, удвоим ставки.
q0100  04:11.2-04:11.5  На чём?
q0101  04:12.2-04:13.9  Не знаю, что-нибудь придумаю.
q0102  04:14.7-04:15.1  На чём?
q0103  04:15.1-04:18.3  Здесь есть очень опасные машины и сотрудники офиса.
q0104  04:19.1-04:23.0  Майкл не должны к ним приближаться.
q0105  04:23.4-04:23.6  Да.
q0106  04:24.4-04:26.0  Но это же худшее на свете.
q0107  04:26.3-04:28.0  Нет, это худшее, это так.
q0108  04:28.0-04:28.9  Что с вами?
q0109  04:29.1-04:29.6  Определенно.
q0110  04:29.6-04:31.3  Большой красный мусоросборник.
q0111  04:31.3-04:32.6  Это не мусоросборник.
q0112  04:32.6-04:33.3  Он очень опасен, ясно.
q0113  04:33.3-04:35.5  Не недооценивайте пресс, Майк.
q0114  04:36.5-04:37.9  Ладно, ладно, я понял, понял.
q0115  04:38.1-04:39.7  Только в самом крайнем случае я подойду.
q0116  04:39.7-04:40.7  Нет, не трогайте его.
q0117  04:41.0-04:43.1  Нет такого случая, когда вы подойдете к нему, ясно?
q0118  04:43.3-04:44.8  Теперь нас поведет Тоби.
q0119  04:45.4-04:48.7  И надеюсь, он не облажается, как он делает это всю жизнь.
q0120  04:50.7-04:52.0  Давайте я перефразирую.
q0121  04:52.0-04:56.6  Я верю, что ты проведешь инструктаж, и это будет так же хорошо, как у Дэрила.
q0122  04:57.6-04:58.2  Поехали!
q0123  04:59.7-05:04.0  Так, первая вещь, которой следует опасаться, это туннельный синдром.
q0124  05:04.3-05:07.5  Рекомендуется делать 10-минутный перерыв при печати каждый час.
q0125  05:08.2-05:26.8  10 10
q0126  05:26.8-05:27.8  Каждый час.
q0127  05:27.8-05:29.8  Ого, это все больше времени?
q0128  05:29.8-05:31.8  Это уже полчаса каждый час?
q0129  05:31.8-05:33.8  Можно в одно и то же время.
q0130  05:33.8-05:37.8  Ладно, а знаешь что, у тебя как-то тускло выходит,
q0131  05:37.8-05:39.8  так что давай сразу к опасным штукам.
q0132  05:40.5-05:43.1  Например, компьютеры могут взорваться, так?
q0133  05:44.4-05:45.4  Нет, нет.
q0134  05:46.5-05:50.8  Вам всегда стоит носить с собой свитер или кофту на случай сквозняков.
q0135  05:51.8-05:53.2  А если рубашка с рукавом?
q0136  05:53.8-05:54.5  Тоже подойдёт.
q0137  05:54.8-05:55.3  Кальсоны?
q0138  05:56.0-05:56.4  Шаль?
q0139  05:56.9-05:58.1  В общем, всё, что может согреть.
q0140  05:58.1-06:01.0  Так, знаешь что? Думаю, что всех сейчас тошнит от скуки.
q0141  06:01.2-06:01.7  Простите.
q0142  06:02.3-06:03.3  Жуткий зануда.
q0143  06:03.7-06:04.3  Посмотрим.
q0144  06:05.4-06:06.1  Сезонная депрессия.
q0145  06:07.0-06:08.9  Депрессия, включающая набор веса.
q0146  06:09.6-06:14.2  Утомление, раздражительность происходит из-за плохого освещения зимой.
q0147  06:14.9-06:16.5  Слава богу, у нас только пресс.
q0148  06:17.2-06:19.2  Да, жутко это дело, Свет, да?
q0149  06:19.5-06:20.5  Так, ребята, знаете что?
q0150  06:20.7-06:22.9  Я не вмешивался, когда вы делали свой доклад.
q0151  06:23.1-06:24.3  Вообще-то вмешивались.
q0152  06:25.0-06:25.3  Да.
q0153  06:26.7-06:28.3  Ладно, возьмем другое.
q0154  06:28.8-06:29.4  Вот, слушайте.
q0155  06:30.1-06:36.2  Особое беспокойство в работе офисных сотрудников вызывает осадочный образ жизни, который может...
q0156  06:36.2-06:36.7  Сидячий.
q0157  06:37.8-06:38.3  Да.
q0158  06:38.9-06:41.9  который может привести к сердечной недостаточности.
q0159  06:42.1-06:45.5  Сердечная недостаточность убила больше людей, чем прессы.
q0160  06:45.6-06:47.3  Это называется толстая задница?
q0161  06:47.5-06:49.4  Нет, сидячая работа.
q0162  06:49.4-06:51.2  Да, болезнь толстого зада.
q0163  06:51.3-06:52.5  От этого вы страдаете.
q0164  06:52.7-06:54.4  У вас есть толстозадая болезнь, Майкл.
q0165  06:54.4-06:56.6  Извини, морского чудовища, ты сам весишь целую тонну.
q0166  06:56.6-06:59.9  Да? Держу пари, ты не против поплавать с морским чудовищем, а?
q0167  06:59.9-07:00.1  Райан?
q0168  07:00.4-07:02.3  Чувак, скажи своей девчонке заткнуться.
q0169  07:02.4-07:02.5  Что?
q0170  07:02.8-07:04.3  Элли, ты оскорбила этого господина.
q0171  07:04.4-07:05.3  Пожалуйста, извинись.
q0172  07:05.4-07:06.3  Ты издеваешься?
q0173  07:06.3-07:07.4  Ладно, мы пошли.
q0174  07:07.4-07:10.0  Дэрил, я не ушёл посреди вашего выступления.
q0175  07:10.1-07:12.3  Да, но наше было настоящее, Майкл.
q0176  07:12.5-07:15.2  Да, об этом мы пытались сказать вам, Майк.
q0177  07:15.3-07:16.6  Там внизу всё серьёзно.
q0178  07:16.8-07:19.6  Мы работаем с опасными вещами, а это ерунда, глупость.
q0179  07:20.1-07:20.6  Чухня.
q0180  07:21.9-07:24.4  У вас тут латкая жизнь, жизнь планктона.
q0181  07:24.9-07:27.9  Сидите на задницах и не рискуйте ими.
q0182  07:30.5-07:31.1  Ладно.
q0183  07:31.1-07:37.7  Что, планктон это не круто?
q0184  07:38.6-07:42.0  Дэрил думает, что он супер-мачо, раз работает на складе.
q0185  07:42.1-07:43.2  Ты велика птица.
q0186  07:43.4-07:44.6  Я работал на складе.
q0187  07:45.1-07:46.0  Мужской одежды.
q0188  07:46.6-07:47.7  Я был зазывалый.
q0189  07:48.6-07:50.7  Посмотрел бы я, как Дэрил зазывает людей.
q0190  07:50.9-07:52.8  Он бы всех там запугал, но не я.
q0191  07:53.0-07:53.1  Я...
q0192  07:56.1-07:58.1  Здравствуйте, я Майкл.
q0193  07:58.3-08:00.1  Добро пожаловать на склад мужской одежды.
q0194  08:00.1-08:02.2  У нас сегодня особые штаны-хаки.
q0195  08:04.4-08:05.2  Один экземпляр.
q0196  08:07.9-08:08.6  Десять.
q0197  08:09.0-08:10.0  Серьезно? Десять?
q0198  08:10.1-08:10.8  Это твой вариант.
q0199  08:11.6-08:12.7  Ты профессиональный счетовод.
q0200  08:13.0-08:13.8  Зелёных там десять.
q0201  08:14.6-08:15.1  Сорок две.
q0202  08:15.7-08:16.5  Я скажу пятьдесят.
q0203  08:16.8-08:17.4  Пятьдесят одна.
q0204  08:17.6-08:18.9  Не надо так. Ой, брось.
q0205  08:19.1-08:20.2  Это стратегия.
q0206  08:20.4-08:20.8  Неправильно.
q0207  08:21.0-08:22.0  Это называется хитрить.
q0208  08:22.4-08:23.3  О, господи.
q0209  08:24.4-08:27.4  Не знаю, как началась эта тема со ставками, но это весело.
q0210  08:28.3-08:29.0  Десять?
q0211  08:29.3-08:30.2  Десять вышли.
q0212  08:30.5-08:33.0  47, 48, 49. Джим выиграл.
q0213  08:33.5-08:34.4  Так нечестно.
q0214  08:34.8-08:36.7  Он часами с тобой на ресепшене сидел.
q0215  08:37.2-08:40.1  Часами, часами, часами.
q0216  08:40.7-08:41.3  Ладно, ладно.
q0217  08:41.7-08:43.3  Нет, точно. Просто годами.
q0218  08:43.9-08:44.3  Да ладно.
q0219  08:44.4-08:46.9  Пэм, депрессия так же опасна, как пресс, да?
q0220  08:47.4-08:48.7  Я не поняла вопроса.
q0221  08:49.0-08:53.0  Работа в офисе может привести к депрессии, которая ведёт к самоубийству.
q0222  08:54.6-08:56.1  То есть это серьёзная штука?
q0223  08:57.4-08:57.8  Да.
q0224  08:59.0-09:01.8  Никто не кончает с собой, если работает с прессом.
q0225  09:02.1-09:04.4  И эти парни все равно надо мной смеются.
q0226  09:04.9-09:06.0  Называют меня планктоном.
q0227  09:06.5-09:06.9  Это...
q0228  09:06.9-09:09.2  Очень тяжело продемонстрировать депрессию.
q0229  09:09.5-09:11.0  А их инструктаж был с примерами.
q0230  09:12.3-09:12.6  Да.
q0231  09:14.2-09:14.6  Ты...
q0232  09:14.6-09:16.6  Ты права.
q0233  09:17.2-09:20.2  У них были наглядные пособия, а у нас только факты.
q0234  09:20.6-09:24.8  Ты не идешь в музей науки читать брошюры про электричество.
q0235  09:24.8-09:32.0  Ты идёшь в музей науки, кладёшь руку на железный шар, и волосы встают дыбом.
q0236  09:32.4-09:33.7  И ты познаёшь науку.
q0237  09:34.7-09:35.4  Так вы в порядке?
q0238  09:36.3-09:36.9  Несомненно.
q0239  09:39.1-09:45.1  У них была бутафория, наглядные пособия, и они заставили нас выглядеть болванами.
q0240  09:45.3-09:45.8  Идиоты!
q0241  09:46.1-09:47.5  Боже, что нам теперь делать?
q0242  09:47.8-09:49.3  Я не знаю, не знаю.
q0243  09:49.7-09:50.9  Понимаешь, что нас убивает?
q0244  09:52.2-09:53.5  Депрессия, волки.
q0245  09:54.4-09:55.1  Депрессия.
q0246  09:55.7-09:56.6  Наглядные пособия?
q0247  09:56.9-09:57.2  Да.
q0248  09:58.0-09:58.5  Вышивка.
q0249  09:58.6-09:59.6  Вышивка от депрессии.
q0250  10:01.5-10:03.6  Нет времени делать вышивку.
q0251  10:05.0-10:05.5  Я понял.
q0252  10:06.7-10:09.2  Достань номер журнала, большая коробка игрушек.
q0253  10:13.0-10:17.3  Вы можете спросить себя, что я делаю на батуте?
q0254  10:17.3-10:17.9  Ну?
q0255  10:18.6-10:22.5  Я думал, что попрыгаю тут немного, сброшу стресс и потом продолжу день.
q0256  10:40.5-10:43.2  Я расскажу им жестокие факты о депрессии.
q0257  10:43.9-10:47.0  И потом я скажу, эй, вы видели самоубийство?
q0258  10:48.3-10:49.3  И я прыгну.
q0259  10:49.9-10:50.9  И они обалдеют.
q0260  10:50.9-10:54.9  И своими глазами увидят опасность депрессии.
q0261  10:55.7-10:59.5  Кроме того, они могут подумать, эй, стоит быть добрее к Майклу.
q0262  10:59.5-11:02.1  Но причина не только в этом.
q0263  11:02.3-11:05.6  Потом я приземлюсь на батут, немного попрыгаю, веселье ради.
q0264  11:06.1-11:08.5  Я слезу, уйду за угол, и всё.
q0265  11:09.5-11:12.6  А потом следующий фильм передвигается на первое место в очереди.
q0266  11:12.8-11:17.9  Так что номер пять становится номер четыре, номер шесть пятым, номер три вторым и так далее, и так далее.
q0267  11:18.0-11:21.7  И, например, я отсылаю «Реальную любовь», шикарный фильм.
q0268  11:22.1-11:24.5  Они отдают городских девчонок, тоже шикарный.
q0269  11:24.8-11:28.0  Но вот теперь я хочу пересмотреть «Реальную любовь», а она в конце очереди.
q0270  11:28.0-11:29.3  О нет, что мне делать?
q0271  11:29.5-11:34.0  А я делаю так. Похожу онлайн, щёлк-щёлк-щёлк, и меняю порядок очереди.
q0272  11:34.4-11:36.7  Так что смогу смотреть «Реальную любовь», когда захочу.
q0273  11:37.6-11:40.2  Это так просто, Райан. Ты правда не знал, как работает Netflix?
q0274  11:41.1-11:42.1  Думаю, я забыл.
q0275  11:43.6-11:45.0  Ты такой рассеянный.
q0276  11:46.4-11:49.1  Райан, отлично. 2 минуты 42 секунды.
q0277  11:49.7-11:53.7  Дополнительно ты выиграла 10, потому что она сказала «шикарно» 12 раз.
q0278  11:53.9-11:58.1  И, Джим, ты выигрываешь 5, потому что она опомянула 6 романтических комедий.
q0279  11:58.1-12:00.7  Ладно, сделаем это. Я пойду вызову подкрепление.
q0280  12:00.9-12:02.4  Может, стоит сначала испытать?
q0281  12:03.0-12:04.0  В стиле Леттермана.
q0282  12:04.3-12:06.2  Сбросим телевизор или...
q0283  12:06.2-12:07.4  Мы же всё продумали.
q0284  12:09.6-12:10.7  Иди, купи арбузов.
q0285  12:11.4-12:12.1  Без семечек?
q0286  12:13.2-12:13.7  Просто.
q0287  12:20.2-12:21.7  Крит ест яблоко.
q0288  12:23.0-12:24.3  Я нашёл картошку.
q0289  12:25.9-12:26.8  Эй, Крит.
q0290  12:27.4-12:28.0  Эй!
q0291  12:28.1-12:29.1  Да.
q0292  12:38.1-12:39.6  Вот, держи.
q0293  12:40.4-12:41.3  Класс.
q0294  12:42.8-12:44.7  Я знаю это место хуже, чем я думала.
q0295  12:45.8-12:46.6  Меня разоряют.
q0296  12:47.6-12:48.1  Поехали.
q0297  12:48.3-12:48.7  Готовы?
q0298  12:48.7-12:49.8  Кидай этого мерзавца.
q0299  12:51.9-12:53.9  Да, в яблочко.
q0300  12:53.9-12:59.7  Выключи сигнализацию, прибери все
q0301  12:59.7-13:00.2  Ладно
q0302  13:00.2-13:01.7  Выясни, чья это машина
q0303  13:01.7-13:04.1  Если Стэнли, позвони Джеймсу Альбини
q0304  13:04.1-13:06.3  Узнай, берет ли он дела дискриминации
q0305  13:06.3-13:06.8  Понял
q0306  13:06.8-13:09.2  И еще избавься от батута, засунь его в пресс
q0307  13:09.2-13:10.7  Нам нельзя работать на прессе
q0308  13:10.7-13:13.4  Пусть падш это сделает или морское чудовище
q0309  13:13.4-13:14.0  Я понял
q0310  13:14.0-13:20.0  Я временно отменяю бойкот
q0311  13:20.0-13:21.1  Спасибо
q0312  13:21.1-13:24.3  Это ничего не значит. Мне надо, чтобы ты кое-что сделал.
q0313  13:24.7-13:25.2  Что угодно.
q0314  13:26.0-13:26.8  Тогда успокойся.
q0315  13:27.3-13:30.0  Мне надо, чтобы ты заказал надувной дом или замок.
q0316  13:30.5-13:31.7  Ты про замок батут?
q0317  13:32.0-13:33.2  А ты как думал, у тебя есть час?
q0318  13:33.7-13:34.9  Мне понадобятся деньги.
q0319  13:35.3-13:36.0  Байкот возвращен.
q0320  13:37.8-13:39.0  Может, в виде моста?
q0321  13:39.4-13:40.3  Отмена бойкота.
q0322  13:41.9-13:43.0  Звучит неплохо, бойкот.
q0323  13:46.0-13:47.7  О да, это гораздо лучше.
q0324  13:48.5-13:49.1  Безопаснее.
q0325  13:49.8-13:50.7  Идеальное решение.
q0326  13:51.1-13:53.0  Да. Спасибо за идею.
q0327  13:53.2-13:56.2  Когда упадёте, постарайтесь приземлиться, как восьмилетний.
q0328  13:56.4-13:58.5  Эти надувные замки не предназначены для взрослых.
q0329  13:58.5-13:59.6  Не знаю, хочу ли я делать.
q0330  13:59.6-14:02.0  Хотите ещё один тест? У меня полно арбузов в багажнике.
q0331  14:03.0-14:04.9  Хватит. Это ужасные тесты.
q0332  14:05.1-14:07.2  Если мы продолжим, я не захочу прыгать.
q0333  14:07.9-14:09.8  Тут не думать, тут прыгать надо.
q0334  14:10.5-14:12.5  Верно. Прыгать. Точно прыгать.
q0335  14:12.7-14:13.7  Устроим рок-н-ролл.
q0336  14:13.7-14:14.5  Рок-н-ролл.
q0337  14:14.6-14:15.0  Да.
q0338  14:15.4-14:16.5  Всё верно. Я не думаю.
q0339  14:17.7-14:18.3  Да.
q0340  14:18.6-14:19.0  Да.
q0341  14:19.0-14:23.0  Майкл шикарен! Прыгните с крыши! Прыгнуть на батут!
q0342  14:24.5-14:28.0  Покажите им, кто босс! Пробьём дыру в солнце!
q0343  14:28.2-14:31.8  Я готов это сделать! Готов настоять на своём!
q0344  14:32.7-14:37.5  Эй, ребята, слушайте! Майкл на крыше и ведёт себя странно!
q0345  14:38.5-14:40.4  А что с ним такое?
q0346  14:41.5-14:44.0  Отмена бойкота. Кажется, он страдает от депрессии.
q0347  14:45.0-14:45.3  Бойкот.
q0348  14:46.1-14:47.4  Когда закончится бойкотирование?
q0349  14:47.9-14:49.0  Отмена. Никогда.
q0350  14:49.0-14:49.4  Да, бойкот.
q0351  14:50.0-14:53.4  Думаю, он хочет, чтобы все вышли на парковку и посмотрели на его смерть.
q0352  14:54.3-14:55.3  Как там погодка?
q0353  14:55.9-14:56.6  Обалденно, идём.
q0354  14:56.9-14:58.0  Вы не надеваете пиджак?
q0355  14:58.2-14:59.4  Нет, правда, там солнечно.
q0356  14:59.4-14:59.7  Идём.
q0357  15:00.1-15:01.3  Я в рубашке не замёрзну?
q0358  15:01.9-15:03.4  Всем будет хорошо, вы ходите.
q0359  15:03.6-15:04.0  Идём.
q0360  15:04.3-15:04.9  Идём же.
q0361  15:07.9-15:08.4  Давайте.
q0362  15:13.4-15:14.5  Давайте, поторопитесь.
q0363  15:14.5-15:15.0  Моя жизнь.
q0364  15:16.6-15:18.1  О, моя жизнь.
q0365  15:19.0-15:20.6  Майкл, что случилось?
q0366  15:21.4-15:22.5  Всё не так.
q0367  15:23.6-15:28.0  Стресс от моего кабинета вогнал меня в депрессию.
q0368  15:28.9-15:33.5  Депрессия? Разве это не дурацкое слово для усталости?
q0369  15:33.8-15:38.3  Дуайт, ты безразличный упырь. Депрессия – очень серьёзная болезнь.
q0370  15:39.1-15:43.4  Более 32 тысяч человек каждый год совершают самоубийство. Каждый год.
q0371  15:44.0-15:46.2  Согласно данным за 2004-й.
q0372  15:46.2-15:48.3  Данные были доступны только за этот год?
q0373  16:00.3-16:03.7  Я не думаю, что они нужны для этой части.
q0374  16:04.2-16:06.2  Ладно. Это...
q0375  16:06.2-16:07.1  Вы сказали просто...
q0376  16:07.1-16:08.4  В этом всё дело, тупица.
q0377  16:08.5-16:09.2  Хорошо, я сделаю.
q0378  16:09.6-16:09.9  Ладно.
q0379  16:12.1-16:13.6  Внимание, голубые воротнички.
q0380  16:15.2-16:17.2  Какова вероятность, что это по-настоящему?
q0381  16:18.3-16:20.6  Я бы сказал, 10 тысяч к одному.
q0382  16:21.3-16:23.9  Ладно, я поставлю десятку на эту вероятность.
q0383  16:24.5-16:27.7  Если кто-то дает 10 тысяч к одному, надо играть.
q0384  16:28.4-16:33.0  Если Джон Мелленкамп когда-нибудь выиграет Оскар,
q0385  16:33.8-16:36.2  я стану очень богатым парнем.
q0386  16:39.0-16:41.2  Майкл, окрытся и мьет себя странно.
q0387  16:42.0-16:43.6  О, моя жизнь.
q0388  16:44.2-16:45.9  Майкл, что-то не так?
q0389  16:46.0-16:47.3  Все не так, Дуайт.
q0390  16:47.3-16:51.4  Двайт, стресс от моего кабинета вогнал меня в депрессию.
q0391  16:52.2-16:56.0  Депрессия? Разве это не дурацкое слово для усталости?
q0392  16:56.2-16:58.0  Двайт, ты безразличный упырь.
q0393  16:58.4-17:00.3  Первое представление слегка сорвалось.
q0394  17:00.6-17:04.3  Но я думаю, что во второй раз они развернутся.
q0395  17:05.2-17:07.6  Надо будет привести родителей на завтрашний сеанс.
q0396  17:07.7-17:08.4  И вот почему.
q0397  17:09.4-17:11.6  Простите, моя любимая часть.
q0398  17:11.8-17:13.0  Я собираюсь прыгнуть с крыши.
q0399  17:13.1-17:14.1  Это просто оскорбительно.
q0400  17:14.3-17:15.3  Мы хотя бы на улице.
q0401  17:15.3-17:18.0  И оцените, там замок стоит
q0402  17:18.0-17:20.0  Боже мой, там замок
q0403  17:20.0-17:23.2  Нет, там не нужно смотреть
q0404  17:23.2-17:25.0  Там ничего нет
q0405  17:25.0-17:28.7  Они нашли замок, Майкл
q0406  17:28.7-17:30.0  Проклятье
q0407  17:30.0-17:34.0  О боже
q0408  17:34.0-17:36.1  Боже мой, он собирается прыгнуть
q0409  17:36.1-17:42.6  Он же убьет себя, притворяясь, что убивает себя
q0410  17:42.6-17:43.2  Да
q0411  17:43.2-17:45.4  Простите
q0412  17:45.4-17:49.2  Эй, Майкл
q0413  17:49.2-17:52.7  Не прыгайте на надувной замок
q0414  17:52.7-17:57.1  Вы не можете этого сделать, вы страшно покалечитесь
q0415  17:57.1-17:59.6  Эй, Майкл
q0416  17:59.6-18:03.7  У меня для вас подарок, но вам надо за ним спуститься
q0417  18:03.7-18:06.3  Что это?
q0418  18:07.0-18:09.0  Спуститесь, откройте и посмотрите
q0419  18:09.0-18:10.8  Дуэт, выясни, что за подарок
q0420  18:10.8-18:11.4  Так
q0421  18:11.4-18:14.9  Я ничего не вижу, она, наверное, облифует.
q0422  18:15.1-18:16.3  Дуайт! Дуайт!
q0423  18:18.4-18:19.2  Это...
q0424  18:19.2-18:20.4  Это...
q0425  18:20.4-18:24.4  Женщина-робот в натуральную величину.
q0426  18:25.4-18:26.4  Их только в Японии производят.
q0427  18:27.9-18:30.6  Дуайт, ты такой врун. Пэм, серьёзно, что это?
q0428  18:31.0-18:36.0  Майк, это противоположность безопасности. Вы спрятались и серьёзно покалечитесь.
q0429  18:36.0-18:42.0  Ты сказал, что я веду тихую жизнь Ланктона?
q0430  18:42.8-18:46.0  Нет, но я не говорил, что вам не зачем жить.
q0431  18:46.7-18:48.1  И ради чего мне жить?
q0432  18:48.7-18:50.2  Ради многих вещей.
q0433  18:53.5-18:53.9  А, и...
q0434  18:53.9-18:54.8  В...
q0435  18:54.8-18:57.9  День.
q0436  19:00.9-19:02.2  А как же Джен?
q0437  19:02.8-19:03.4  Заблевать.
q0438  19:03.4-19:05.2  Любимая, любимая Джен, мужик.
q0439  19:06.0-19:08.1  Там всё в порядке, так?
q0440  19:08.5-19:09.9  С Джен всё сложно.
q0441  19:11.6-19:14.0  Я не знаю, что делать и чего хотеть.
q0442  19:15.5-19:17.3  Экс уже не тот, что раньше.
q0443  19:18.0-19:18.5  Майк,
q0444  19:20.0-19:21.8  ты очень храбрый человек.
q0445  19:22.1-19:24.1  Чтобы быть с вами, надо быть смелым.
q0446  19:25.1-19:27.7  Вставать с кровати каждый день.
q0447  19:28.2-19:30.9  Отлично знаешь, что надо быть с вами.
q0448  19:32.0-19:33.8  Ты действительно так думаешь?
q0449  19:33.8-19:35.2  Я бы не смог.
q0450  19:35.2-19:37.8  Я не настолько семённый, не настолько смел.
q0451  19:38.3-19:39.4  Я смелее, чем ты?
q0452  19:39.8-19:40.5  Гораздо.
q0453  19:41.3-19:42.7  У тебя смелое сердце, мужик.
q0454  19:45.8-19:47.6  У меня смелое сердце.
