q0001  00:00.0-00:02.1  Джим, можешь подойти, пожалуйста?
q0068  02:58.3-03:01.1  Энди, раз уж идея твоя, тебе выбирать первым.
q0069  03:02.4-03:05.8  Ну, дайте мне подумать минуту.
q0070  03:06.1-03:07.0  Даже не знаю.
q0071  03:08.4-03:13.0  Майкл Скотт, доктор наук, доктор продаж.
q0072  03:13.1-03:15.5  Спасибо, я это ценю, очень любезно с твоей стороны.
q0073  03:15.7-03:17.5  Очень любезно, с тобой согласились.
q0074  03:17.7-03:18.8  Хорошо, спасибо, сэр.
q0075  03:20.1-03:22.5  Ладно, теперь по возрасту.
q0076  03:22.8-03:24.4  Филлис самая старшая.
q0077  03:24.4-03:26.4  Мы с вами ровесники.
q0078  03:27.1-03:29.5  И я выберу Карен.
q0079  03:30.5-03:31.4  О, спасибо.
q0080  03:32.3-03:32.7  Хорошо.
q0081  03:33.9-03:34.6  Следующий?
q0082  03:35.0-03:36.8  Наш супер-быстрый Стэнли.
q0083  03:37.2-03:37.8  Пас.
q0084  03:37.9-03:39.3  Ты не можешь сказать пас.
q0085  03:39.4-03:40.7  Ты должен кого-то выбрать.
q0086  03:43.8-03:45.3  Я возьму пацана.
q0087  03:46.8-03:47.8  Я очень польщен.
q0088  03:48.1-03:50.6  Я был его вторым выбором после пас.
q0089  03:51.7-03:54.0  Ну и у нас остались Дуайт и Джим.
q0090  03:54.0-03:55.7  Так, кто-нибудь хочет поменяться?
q0091  03:56.3-03:57.2  Да, я хочу.
q0092  03:58.7-04:01.3  Мы с Дуайтом всегда были в одной команде.
q0093  04:01.3-04:03.6  У меня даже фото осталось с тех времён.
q0094  04:04.8-04:10.1  О, молодой Джим, есть столько всего, о чём я бы предупредил тебя.
q0095  04:10.4-04:13.9  И всё же, к сожалению, я не могу.
q0096  04:15.4-04:17.0  Себринг от Крайслера.
q0097  04:18.5-04:19.7  Обалденный у него мотор.
q0098  04:20.1-04:20.5  Дуайт?
q0099  04:21.0-04:22.0  Да, это тебе.
q0100  04:24.0-04:25.3  Рубашки на плечики?
q0101  04:25.5-04:26.0  Пожалуйста.
q0102  04:26.4-04:27.4  Он ходит в прачечном?
q0103  04:28.0-04:28.8  Долгая история.
q0104  04:29.9-04:31.4  Ладно, всё, давайте в круг.
q0105  04:32.2-04:33.0  Поехали.
q0106  04:33.8-04:35.1  Знаете, что это такое?
q0107  04:35.5-04:36.8  Это удивительная гонка.
q0108  04:37.4-04:39.1  Вы ребята морпихи в отставке.
q0109  04:39.4-04:40.9  Вы у нас мама с дочкой.
q0110  04:41.4-04:43.0  А вы парочка геев.
q0111  04:43.9-04:45.6  А мы герои пожарные.
q0112  04:45.6-04:47.0  Мы готовы к старту?
q0113  04:47.3-04:50.6  Стойте, удивительная гонка, то есть большая продажа победит?
q0114  04:50.6-04:54.1  Нет, мы просто смотаемся, продадим и вернёмся.
q0115  04:54.2-04:54.8  А приз есть?
q0116  04:55.0-04:56.0  Только самоуважение.
q0117  04:56.0-04:57.8  Тогда почему удивительная гонка?
q0118  04:57.9-05:01.1  Это просто удивительная гонка, Филлис.
q0119  05:01.2-05:01.6  Ясно?
q0120  05:01.9-05:04.2  Мы в команде по двое, и мы на миссии.
q0121  05:04.6-05:04.8  Ладно.
q0122  05:05.6-05:06.5  Итак, на старт.
q0123  05:06.7-05:07.5  Внимание, марш!
q0124  05:07.6-05:08.0  Вперёд!
q0125  05:08.1-05:08.7  Сделаем это!
q0126  05:14.7-05:15.2  Майкл!
q0127  05:27.1-05:29.7  Да. Это самое безопасное место.
q0128  05:30.2-05:32.8  В случае аварии водитель всегда защищает своё место.
q0129  05:38.2-05:38.9  Поехали!
q0130  05:40.4-05:43.6  Если я хочу в Брэд Уайта, надо разрушить его альянс.
q0131  05:43.8-05:44.8  В данном случае с Майклом.
q0132  05:44.9-05:45.8  И вот хорошие новости.
q0133  05:46.5-05:57.1  Каждый успех, что был у меня на работе или с дамочками, пришел от моей способности медленно и мучительно убирать конкурентов.
q0134  05:58.5-06:00.3  А с чего Дуайт ходит для вас в прачечную?
q0135  06:02.4-06:04.0  Это долгая история.
q0136  06:05.2-06:11.9  Пару месяцев назад Дуайт попытался за моей спиной сыграть с Джен и получить мое место.
q0137  06:11.9-06:14.7  А теперь ходит в прачечную в наказание.
q0138  06:17.4-06:20.5  История долгая, но хорошо рассказана, Майкл.
q0139  06:21.3-06:22.8  Думаю, это очень интересно.
q0140  06:23.1-06:26.5  Особенно часть про то, что Дуайт творил всё за вашей спиной.
q0141  06:26.6-06:28.0  Он просто ужасный человек.
q0142  06:30.9-06:33.9  Ну, знаете, если хотите, чтобы со стиркой всё было в порядке,
q0143  06:34.4-06:35.7  я работал в Оберкромбе.
q0144  06:36.0-06:37.5  Так что опыт имеется.
q0145  06:40.0-06:41.5  Почему мы поворачиваем сюда?
q0146  06:41.7-06:42.6  Это салон красоты.
q0147  06:42.8-06:43.1  Ага.
q0148  06:43.1-06:47.5  Эй, вы не против, если я сам разберусь?
q0149  06:47.6-06:49.6  А потом вы можете меня покритиковать?
q0150  06:49.8-06:50.6  Рвёшься в лидеры?
q0151  06:51.2-06:52.3  Да, если вы не против
q0152  06:52.3-06:55.2  Против? Ничто не устроит меня больше
q0153  06:55.2-07:03.4  Эй, Пэм
q0154  07:03.4-07:06.0  Ты не против попить со мной кофе?
q0155  07:07.4-07:08.0  Серьёзно?
q0156  07:08.3-07:10.8  Да, я подумала, тебе стоит прогуляться
q0157  07:10.8-07:12.0  Это будет весело
q0158  07:12.0-07:12.7  Ладно
q0159  07:12.7-07:14.6  Конечно. Хорошо.
q0160  07:22.2-07:23.5  Оставь ключи.
q0161  07:24.1-07:25.7  Ты всё ещё так делаешь?
q0162  07:25.8-07:26.7  Оставь ключи.
q0163  07:42.7-07:49.8  Я думаю, что вы собрали прекрасную команду в Скрэнтоне.
q0164  07:51.0-07:57.1  Это честь быть ей частью, как будто у всех есть свои особые навыки, знаете, как супер-друзья.
q0165  07:58.1-08:01.6  Кроме Дуайта, который больше как супер-дурень.
q0166  08:02.3-08:07.0  То есть он был бы супер-другом, если бы его супер-силой были постоянные опоздания.
q0167  08:08.6-08:09.2  Понимаете?
q0168  08:11.2-08:12.3  Человек-ястреб.
q0169  08:12.7-08:18.9  Мой план займёт больше времени, чем я думал, но я не сдамся так просто.
q0170  08:19.7-08:22.7  Я два марафона прошёл, так что...
q0171  08:24.4-08:25.0  Сведём.
q0172  08:29.0-08:31.0  Мужской туалет был отвратительным.
q0173  08:34.4-08:35.4  После вас, сэр.
q0174  08:35.5-08:37.8  Нет, спасибо, никогда никого не оставляю за спиной.
q0175  08:38.0-08:39.8  Семь из десяти атак приходятся сзади.
q0176  08:39.8-08:42.9  Тогда остаётся 30% того, что я нападу спереди.
q0177  08:43.2-08:44.4  Да, но легче остановить.
q0178  08:44.9-08:47.1  Я могу блокировать удар или провести кросс.
q0179  08:55.4-08:59.0  Эй, вы поймали это на озере Валенпопик?
q0180  08:59.1-08:59.6  Да.
q0181  09:00.0-09:04.7  Знаете, я вырос там со своим отчимом и ни разу не вытаскивал такую большую.
q0182  09:05.5-09:08.9  Я вытащил акулу на 40 кило из Монтока.
q0183  09:08.9-09:10.0  Это в Хэмптонсе.
q0184  09:10.8-09:14.1  У моего отца 12-метровый бейлайнер.
q0185  09:14.3-09:15.9  Я застрелил её из винтовки с вышки.
q0186  09:18.1-09:19.4  И оленя один раз убил.
q0187  09:19.4-09:21.3  Знаете, давайте перейдём к делу.
q0188  09:21.3-09:22.2  Дандер Мифлин.
q0189  09:22.7-09:24.6  Может, это лишь пара комнат и склад,
q0190  09:25.0-09:29.9  но недостаток плоти мы возмещаем тяжёлым трудом и вежливостью.
q0191  09:30.5-09:32.9  Ладно, это просто классическая недооценка.
q0192  09:33.7-09:37.9  Потому что вы должны знать, что мы не в бараке торгуем.
q0193  09:37.9-09:40.2  Мы есть на Нью-Йоркской фондовой бирже.
q0194  09:40.3-09:41.0  Слышали о такой?
q0195  09:41.1-09:41.8  Это в Нью-Йорке.
q0196  09:42.8-09:45.9  Должен сказать, я осторожно отношусь к работе с большими компаниями.
q0197  09:46.5-09:48.1  У нас были проблемы в прошлом.
q0198  09:48.5-09:51.4  Думаю, что Энди хотел сказать то, что,
q0199  09:52.2-09:54.3  обладая ресурсами большой компании,
q0200  09:54.4-09:57.6  мы можем дать вам внимание и заботу маленькой.
q0201  09:58.4-09:59.9  Боже, это как поэзия.
q0202  10:01.0-10:01.3  Нет.
q0203  10:01.6-10:03.5  Клянусь, этот парень может продать бумагу.
q0204  10:03.6-10:04.6  Хватит дереву.
q0205  10:04.7-10:04.9  Стоп.
q0206  10:04.9-10:11.4  Боже, расскажите о вашем классическом провале
q0207  10:11.4-10:15.6  Вы вообще хотели, чтобы он у нас бумагу купил?
q0208  10:16.2-10:16.5  Да
q0209  10:16.5-10:19.7  Анжела, ты такая счастливая
q0210  10:19.7-10:23.9  Уверена, ты хотела бы всё время быть такой
q0211  10:23.9-10:29.1  Одна моя подруга, назовём её Ноэль
q0212  10:29.1-10:34.4  Она пропустила срок подачи кое-чего в Нью-Йорк
q0213  10:48.1-10:49.3  Но это прекрасно.
q0214  10:49.9-10:51.5  Да, это так.
q0215  10:56.5-10:57.1  Алло!
q0216  10:59.0-10:59.7  Я...
q0217  10:59.7-11:00.9  Боже, мне так жаль.
q0218  11:02.7-11:04.3  Я и правда облажался.
q0219  11:04.9-11:05.4  Серьёзно?
q0220  11:05.6-11:06.8  Нет, не волнуйся об этом.
q0221  11:06.9-11:07.9  Просто обшрутился.
q0222  11:08.0-11:08.6  Что?
q0223  11:10.1-11:10.7  Обшрутился.
q0224  11:11.4-11:13.5  Так всё время говорят в вашем офисе.
q0225  11:14.0-11:16.4  Когда кто-нибудь облажается по полной.
q0226  11:17.8-11:18.8  Ты обшрутился.
q0227  11:20.0-11:21.4  Не знаю, откуда это взялось.
q0228  11:22.5-11:24.2  Думаете, из-за Дуайта шрута?
q0229  11:24.5-11:26.9  Не знаю. Кто знает, как появляются слова?
q0230  11:30.4-11:32.3  Это большой заказ. Спасибо, Кен.
q0231  11:32.5-11:33.0  Да, спасибо.
q0232  11:33.2-11:33.8  Как, Энни?
q0233  11:34.0-11:35.0  О, прекрасно.
q0234  11:35.6-11:37.9  Это мы в прошлом году на Бермудах.
q0235  11:38.0-11:42.3  Милое место.
q0236  11:42.6-11:43.8  Вы были на Бермудах?
q0237  11:44.6-11:45.8  Стэнли Хадсон!
q0238  11:45.9-11:47.1  А, Джулиус, как дела?
q0239  11:47.3-11:49.4  Отлично, отлично, отлично, отлично!
q0240  11:49.9-11:51.3  Стэнли, рад тебя видеть.
q0241  11:51.3-11:51.9  Я тоже.
q0242  11:52.3-11:54.4  Хочу познакомить вас с Райаном Говардом.
q0243  11:54.6-11:55.0  Привет.
q0244  11:55.6-11:58.7  Я дам Райану поболтать с вами, пока разгадываю кроссворд.
q0245  11:59.0-11:59.5  Райан?
q0246  12:08.0-12:15.2  Привет. Привет. Привет. Привет, Райан. Привет. Что у тебя есть для нас?
q0247  12:18.0-12:21.8  Мы можем предложить вам скидку в 30% и самый передовой лазер.
q0248  12:22.2-12:24.7  Ясно. Ясно. Можно позвонить?
q0249  12:25.1-12:26.2  Да, конечно, пожалуйста.
q0250  12:26.6-12:28.6  Давайте поговорим о том, что мы ещё можем предложить.
q0251  12:28.7-12:32.7  А именно, мы знаем, что подходит сезон налогов, так что к первому апреля мы сможем всё отгрузить.
q0252  12:32.7-12:37.7  Один. Сниженные цены на картриджи. Три. И все формы, которые вам понадобятся.
q0253  12:37.7-12:39.2  Мы всё предоставим.
q0254  12:44.5-12:49.7  А ты такой просто «Привет, привет, привет!»
q0255  12:49.7-12:51.7  Ты говорил, как...
q0256  12:52.4-12:54.5  Моя племянница.
q0257  12:55.4-12:56.6  А ей шесть месяцев.
q0258  12:59.3-13:03.7  Я ценю то, что вы предлагаете, но выгоднее получается работать с крупными игроками.
q0259  13:03.8-13:04.9  Конечно. Это правда.
q0260  13:04.9-13:07.7  Мы не можем сравниться с их ценами, но позвольте задать вопрос.
q0261  13:07.7-13:09.4  Насколько вам важна работа с клиентами?
q0262  13:09.5-13:09.9  Очень.
q0263  13:10.1-13:13.0  Пожалуйста, подождите. Ваш звонок очень важен для нас.
q0264  13:13.4-13:16.8  Это один из крупных игроков. На ожидании всё время.
q0265  13:17.4-13:19.1  А это наш Дандер Мифлин.
q0266  13:21.0-13:23.0  Дандер Мифлин, клиентский отдел, это Келли.
q0267  13:23.1-13:24.0  Привет, Келли, это Джим.
q0268  13:24.4-13:25.6  Боже, Джим, как дела?
q0269  13:27.1-13:28.3  Это моя визитка.
q0270  13:28.8-13:29.7  Здесь мой мобильный.
q0271  13:29.9-13:32.0  Номер пейджера, домашний номер второго пейджера.
q0272  13:32.4-13:35.5  Я не беру отпуск, никогда не болею и не отмечаю никаких праздников.
q0273  13:35.5-13:38.2  Ладно, я понял, мы договорились.
q0274  13:39.2-13:39.7  Отлично.
q0275  13:40.3-13:41.5  Спасибо, было весело.
q0276  13:41.8-13:44.2  Да, мне нравится проводить время с тобой.
q0277  13:44.4-13:45.6  Ты очень хороший человек.
q0278  13:45.9-13:46.2  Спасибо.
q0279  13:47.4-13:49.3  Я так рада, что ты с Джимом.
q0280  13:49.5-13:51.3  Он столько времени циклился на Пэм.
q0281  13:52.5-13:54.5  Не думала, что он это переборет.
q0282  13:58.0-13:58.9  Очень мило.
q0283  14:01.4-14:03.2  За макияж потом расплатишься.
q0284  14:05.5-14:07.5  Ха-ха-ха!
q0285  14:12.2-14:13.0  Эй, босс.
q0286  14:13.7-14:14.5  Есть минутка?
q0287  14:14.5-14:15.1  Да, Энди.
q0288  14:15.5-14:18.0  Я забыл, как Дуайт объяснил своё опоздание утром.
q0289  14:18.2-14:18.9  Он не сказал.
q0290  14:19.0-14:20.0  Это странно.
q0291  14:20.7-14:23.0  Я тут проходил мимо его стола и увидел это.
q0292  14:23.5-14:27.8  Это оплата за шоссе до Нью-Йорка, оплачена сегодня рано утром.
q0293  14:31.4-14:34.0  Зачем Дуайту ездить в Нью-Йорк, никому не говоря?
q0294  14:34.0-14:39.5  Думаете, он встречался с Джен? На него не похоже. Правда?
q0295  14:39.5-14:46.0  Мне тут рассказали историю, там было про прачечную и предательство.
q0296  14:46.0-14:51.9  Это вы предали Дуайта и хотели забрать его место, так что ли?
q0297  14:51.9-15:02.0  Нет. Ты неправильно запомнил. Дуайт предал меня тогда. Значит, это второй удар. Знаете,
q0298  15:02.0-15:14.8  как говорят обмани меня раз это первый удар но обмани второй третий удар мне нравится карен
q0299  15:14.8-15:22.8  она красивая и похоже умная мне нравятся красивые девушки которые выглядят умными
q0300  15:24.8-15:31.8  моя девушка тоже красивая и умная могла бы быть моделью или учителем в колледже это
q0301  15:31.8-15:33.0  многих парней пугает.
q0302  15:34.9-15:36.5  Нам стоит сходить на двойное свидание.
q0303  15:38.1-15:39.0  Нет, спасибо.
q0304  15:39.8-15:42.2  Имя Дуайта есть в списках охраны,
q0305  15:42.2-15:43.7  но я не знаю, с кем он встречался.
q0306  15:44.1-15:46.3  А там, где указана цель визита,
q0307  15:46.5-15:49.8  он написал «Забота не ваша, Инк».
q0308  15:49.8-15:50.4  Я знал.
q0309  15:56.8-15:57.4  Отдас.
q0310  16:13.6-16:20.6  Я проспал. Чёртов петок не прокукарекал. Зачем ты врёшь, врун? Я не врун. Ты мне сейчас врёшь.
q0311  16:20.9-16:26.6  Да, кажется, кто-то врёт. Не лезь в это ты. Я знаю, что ты ездил в правление сегодня утром,
q0312  16:26.6-16:28.5  и знаю, что ты соврал об этом.
q0313  16:29.1-16:31.3  А учитывая нашу историю,
q0314  16:31.6-16:33.2  я хочу, чтобы ты сказал мне,
q0315  16:33.3-16:35.6  что именно ты делал сегодня утром.
q0316  16:36.5-16:38.6  Майкл, я не могу сказать, что я там делал.
q0317  16:39.4-16:41.3  Но вы должны верить мне,
q0318  16:41.5-16:43.6  я бы никогда не навредил ни вам, ни этой компании.
q0319  16:44.1-16:44.9  Так, знаешь что?
q0320  16:45.3-16:48.1  Я хочу, чтобы ты подумал о своём будущем в этой компании.
q0321  16:48.1-16:50.1  Хочу, чтобы ты долго и серьёзно подумал.
q0322  16:50.1-16:51.0  Так она говорила.
q0323  16:51.5-16:52.8  Нет, не смей.
q0324  16:52.8-16:58.6  Я хочу узнать, что ты делал утром до конца дня
q0325  16:58.6-17:06.5  Всё будет в порядке
q0326  17:06.5-17:08.9  Как это будет в порядке, Двайт?
q0327  17:09.3-17:10.8  Все узнают о нас с тобой
q0328  17:10.8-17:12.7  Это не худшая вещь в мире
q0329  17:12.7-17:17.2  Я встану перед всем офисом и скажу о нашей любви
q0330  17:17.2-17:20.5  Это будет не так плохо
q0331  17:20.5-17:22.0  Посмотри на Келли Райна
q0332  17:22.7-17:25.4  Я ненавижу этих двоих больше всего на свете.
q0333  17:27.2-17:29.4  Но выбирать мне особенно не из чего.
q0334  17:31.2-17:32.5  Позволь задать вопрос.
q0335  17:32.7-17:33.0  Ладно.
q0336  17:33.9-17:35.6  У тебя что-то было с Пэм?
q0337  17:36.6-17:37.2  Пэм?
q0338  17:38.0-17:39.6  Было ли у меня с ней что-то?
q0339  17:40.3-17:40.8  Нет.
q0340  17:42.0-17:43.8  А что, она что-то сказала?
q0341  17:45.3-17:47.3  Я переехала из Коннектикута.
q0342  17:47.8-17:48.1  Да.
q0343  17:50.3-17:51.4  Так вот что.
q0344  17:52.0-17:58.5  Я был влюблен в нее до ухода.
q0345  17:59.0-18:00.2  И сказал ей об этом.
q0346  18:00.6-18:02.2  И она не ответила взаимностью.
q0347  18:03.1-18:05.8  Это ни к чему не привело, и я ушел.
q0348  18:09.2-18:11.3  Я очень рад, что ты здесь.
q0349  18:12.1-18:12.6  Ясно?
q0350  18:14.3-18:14.9  Ясно.
q0351  18:22.0-18:23.9  Могу я привлечь ваше внимание, пожалуйста?
q0352  18:25.7-18:27.2  Это займёт всего секунду.
q0353  18:29.8-18:32.3  Пусть я люблю эту компанию больше всего на свете.
q0354  18:33.3-18:37.0  Я решил уйти со своего поста и проводить больше времени с семьёй.
q0355  18:37.5-18:39.0  Я не страшусь неизвестности.
q0356  18:39.4-18:42.8  И встречу препятствия с поднятой головой, и я преуспею.
q0357  18:43.0-18:45.5  И рассмеюсь в лицо тем, кто усомнится во мне.
q0358  18:46.2-18:48.3  Было приятно работать с некоторыми из вас,
q0359  18:48.3-18:50.8  и я не всех смогу быстро забыть.
q0360  18:50.8-18:57.2  Но помните, так же, как я сегодня, пойдём мы все.
q0361  19:01.2-19:02.8  Другими словами, я ухожу.
q0362  19:03.3-19:03.8  Так что...
q0363  19:05.1-19:08.8  Ум-пам, ум-пам, жизнь теперь песня.
q0364  19:09.4-19:13.0  Дуайт нас покинул, это просто чудесно.
q0365  19:13.8-19:14.8  Зачем он ушёл?
q0366  19:15.3-19:17.0  Был миляга такой.
q0367  19:17.5-19:18.7  Нет, не такой.
q0368  19:18.7-19:20.8  Он был полный осёл.
q0369  19:20.8-19:22.8  Тра-ля-ля, тра-ля-ля.
q0370  19:24.7-19:26.9  Я хотел бы передать свое имущество.
q0371  19:29.3-19:30.4  Майклоскоттум.
q0372  19:31.9-19:32.7  Просто возьмите.
q0373  19:33.5-19:34.3  Кроме этого.
q0374  19:35.7-19:36.3  Удачи.
q0375  19:36.4-19:36.9  И вот этого.
q0376  19:40.8-19:42.2  Дуайта будет не хватать.
q0377  19:43.7-19:47.9  Мне не особенно, но будет не хватать.
q0378  19:49.3-19:49.8  Дуайт.
q0379  19:50.8-19:51.7  Из продаж.
q0380  19:52.8-19:56.9  Был одним из самых честных и эффективных сотрудников, которые есть в этой компании.
q0381  19:58.0-20:01.5  Одной из моих целей в жизни была смерть за моим столом.
q0382  20:02.7-20:06.2  А сегодня эту мечту разбили.
q0383  20:09.8-20:11.0  Эй, приятель.
q0384  20:20.8-20:26.8  Что стряслось в отделе продаж?
q0385  20:29.4-20:31.7  Счастлив ли я, что всё так обернулось?
q0386  20:33.5-20:37.7  Счастлив – это такое плохое слово, но...
q0387  20:37.7-20:43.0  Я увидел, что надо сделать, и сделал, и я взволнован.
q0388  20:43.4-20:46.0  Так что место свободно, ау.
q0389  20:47.5-20:48.3  Всё отлично.
q0390  20:50.8-21:20.8  Продолжение следует...
q0391  21:20.8-21:50.8  Продолжение следует...
